Quarter,Time,Tm,Detail,LAR,NYG
1.0,9:21,Giants,Graham Gano 27 yard field goal,0,3
2.0,10:28,Rams,Robert Woods 15 yard pass from Matthew Stafford (Matt Gay kick),7,3
,8:06,Rams,Cooper Kupp 3 yard pass from Matthew Stafford (Matt Gay kick),14,3
,3:36,Rams,Darrell Henderson 2 yard rush (Matt Gay kick),21,3
,0:33,Rams,Darrell Henderson 25 yard pass from Matthew Stafford (Matt Gay kick),28,3
3.0,5:45,Rams,Matt Gay 32 yard field goal,31,3
4.0,11:55,Rams,Cooper Kupp 13 yard pass from Matthew Stafford (Matt Gay kick),38,3
,6:21,Giants,Elijhaa Penny 4 yard rush (Kyle Rudolph pass from Daniel Jones),38,11
