Unnamed: 0,TEN,NWE
First Downs,19,18
Rush-Yds-TDs,40-201-1,22-98-1
Cmp-Att-Yd-TD-INT,9-16-76-1-1,20-37-209-0-1
Sacked-Yards,1-5,0-0
Net Pass Yards,71,209
Total Yards,272,307
Fumbles-Lost,2-0,2-1
Turnovers,1,2
Penalties-Yards,5-25,3-28
Third Down Conv.,6-12,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,31:09,28:51
