Quarter,Time,Tm,Detail,TEN,NWE
1.0,12:37,Patriots,Nick Folk 36 yard field goal,0,3
,5:39,Titans,Anthony Firkser 12 yard pass from Ryan Tannehill (Greg Joseph kick),7,3
2.0,14:57,Patriots,Julian Edelman 5 yard rush (Nick Folk kick),7,10
,2:16,Patriots,Nick Folk 21 yard field goal,7,13
,0:35,Titans,Derrick Henry 1 yard rush (Greg Joseph kick),14,13
4.0,0:09,Titans,Logan Ryan 9 yard interception return (run failed),20,13
