Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 72 yards, returned by Khalil Herbert for 50 yards (tackle by Taylor Rapp)",,
1,14:50,1,10,CHI 43,0,0,Andy Dalton pass complete short right to Darnell Mooney for 4 yards (tackle by Kenny Young),,
1,14:25,2,6,CHI 47,0,0,David Montgomery up the middle for 41 yards (tackle by Kenny Young),,
1,13:46,1,10,LAR 12,0,0,Damien Williams up the middle for no gain (tackle by Justin Hollins and Aaron Donald),,
1,13:07,2,10,LAR 12,0,0,Justin Fields pass complete short right to Marquise Goodwin for 9 yards (tackle by Jalen Ramsey),,
1,12:22,3,1,LAR 3,0,0,"Penalty on Cole Kmet: False Start, 5 yards (accepted) (no play)",,
1,11:59,,,,,,Timeout #1 by Chicago Bears,,
1,11:59,3,6,LAR 8,0,0,Andy Dalton pass short left (defended by Kenny Young) intended for Darnell Mooney is intercepted by David Long in end zone and returned for no gain,,
1,11:54,1,10,LAR 20,0,0,Darrell Henderson up the middle for 6 yards (tackle by Roquan Smith),,
1,11:28,2,4,LAR 26,0,0,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Tashaun Gipson),,
1,10:50,1,10,LAR 33,0,6,"Matthew Stafford pass complete deep right to Van Jefferson for 67 yards, touchdown",,
1,10:36,,,CHI 15,0,7,Matt Gay kicks extra point good,,
1,10:36,,,LAR 35,0,7,"Matt Gay kicks off 65 yards, returned by Khalil Herbert for 24 yards (tackle by Taylor Rapp and Jake Funk)",,
1,10:30,1,10,CHI 24,0,7,David Montgomery left guard for 14 yards (tackle by Kenny Young and Leonard Floyd),,
1,9:51,1,10,CHI 38,0,7,Andy Dalton pass complete short right to Allen Robinson for 5 yards (tackle by Darious Williams),,
1,9:22,2,5,CHI 43,0,7,Andy Dalton pass complete short middle to Cole Kmet for 10 yards (tackle by Taylor Rapp and Jordan Fuller),,
1,8:48,1,10,LAR 47,0,7,Andy Dalton pass incomplete short left intended for Allen Robinson,,
1,8:45,2,10,LAR 47,0,7,David Montgomery right guard for 2 yards (tackle by Justin Hollins and Aaron Donald),,
1,8:06,3,8,LAR 45,0,7,Andy Dalton pass complete short right to Damien Williams for 4 yards (tackle by Taylor Rapp),,
1,7:21,4,4,LAR 41,0,7,Andy Dalton pass incomplete short right intended for Allen Robinson (defended by Jalen Ramsey),,
1,7:17,1,10,LAR 41,0,7,Matthew Stafford pass complete short right to Cooper Kupp for 1 yard (tackle by Alec Ogletree),,
1,6:53,2,9,LAR 42,0,7,Matthew Stafford pass complete deep right to DeSean Jackson for 18 yards (tackle by Alec Ogletree),,
1,6:09,1,10,CHI 40,0,7,Matthew Stafford left end for 1 yard (tackle by Roquan Smith),,
1,5:30,2,9,CHI 39,0,7,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Marqui Christian and Jaylon Johnson),,
1,4:49,3,5,CHI 35,0,7,Matthew Stafford pass incomplete deep left intended for Van Jefferson,,
1,4:44,4,5,CHI 35,0,10,Matt Gay 53 yard field goal good,,
1,4:39,,,LAR 35,0,10,"Matt Gay kicks off 65 yards, touchback.",,
1,4:39,1,10,CHI 25,0,10,Damien Williams left end for -3 yards (tackle by Troy Reeder and Jalen Ramsey),,
1,3:58,2,13,CHI 22,0,10,"Andy Dalton pass complete short right to Marquise Goodwin for 19 yards (tackle by David Long). Penalty on David Long: Face Mask (15 Yards), 15 yards (accepted)",,
1,3:34,1,10,LAR 44,0,10,Marquise Goodwin left end for -2 yards (tackle by Jalen Ramsey),,
1,2:50,2,12,LAR 46,0,10,Andy Dalton pass complete short right to Darnell Mooney for -2 yards (tackle by Jalen Ramsey),,
1,2:07,3,14,LAR 48,0,10,Andy Dalton pass complete short left to Damiere Byrd for 10 yards (tackle by David Long),,
1,1:22,4,4,LAR 38,0,10,"Andy Dalton sacked by Justin Hollins for -4 yards. Andy Dalton fumbles (forced by Justin Hollins), recovered by Kenny Young at LA-42",,
1,1:14,1,10,LAR 42,0,10,Matthew Stafford pass complete short left to Tyler Higbee for 17 yards (tackle by Roquan Smith),,
1,0:30,1,10,CHI 41,0,10,Darrell Henderson left tackle for 2 yards (tackle by Eddie Jackson),,
Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,CHI 39,0,10,Robert Woods left tackle for 7 yards (tackle by Jaylon Johnson),,
2,14:34,3,1,CHI 32,0,10,Darrell Henderson left guard for no gain (tackle by Angelo Blackson and Alec Ogletree),,
2,13:56,,,,,,Timeout #1 by Los Angeles Rams,,
2,13:56,4,1,CHI 32,0,10,Matthew Stafford pass complete short right to Van Jefferson for 13 yards (tackle by Jaylon Johnson),,
2,13:16,1,10,CHI 19,0,10,Matthew Stafford pass complete short middle to Darrell Henderson for 17 yards (tackle by Roquan Smith and Kindle Vildor),,
2,12:34,1,2,CHI 2,0,10,Darrell Henderson left tackle for -2 yards (tackle by Jaylon Johnson and Alec Ogletree),,
2,11:53,2,4,CHI 4,0,10,Matthew Stafford pass incomplete short right intended for Cooper Kupp,,
2,11:46,3,4,CHI 4,0,10,Matthew Stafford pass incomplete short left intended for Robert Woods,,
2,11:42,4,4,CHI 4,0,13,Matt Gay 22 yard field goal good,,
2,11:39,,,LAR 35,0,13,"Matt Gay kicks off 65 yards, touchback.",,
2,11:39,1,10,CHI 25,0,13,David Montgomery left tackle for 1 yard (tackle by Jalen Ramsey and Justin Hollins),,
2,10:59,2,9,CHI 26,0,13,Andy Dalton pass complete short left to Darnell Mooney for 9 yards (tackle by Jalen Ramsey),,
2,10:17,1,10,CHI 35,0,13,Andy Dalton pass complete short right to Marquise Goodwin for 7 yards (tackle by David Long),,
2,9:36,2,3,CHI 42,0,13,David Montgomery up the middle for 3 yards (tackle by Kenny Young and Jordan Fuller),,
2,8:56,1,10,CHI 45,0,13,Damien Williams right tackle for 5 yards (tackle by Taylor Rapp and Justin Hollins),,
2,8:15,2,5,CHI 50,0,13,Andy Dalton pass complete short left to Damiere Byrd for 3 yards (tackle by Kenny Young and Terrell Lewis),,
2,7:30,3,2,LAR 47,0,13,Andy Dalton pass incomplete short right intended for Allen Robinson (defended by David Long),,
2,7:25,4,2,LAR 47,0,13,"Pat O'Donnell punts 36 yards, fair catch by Cooper Kupp at LA-11",,
2,7:18,1,10,LAR 11,0,13,Matthew Stafford pass complete short right to Tyler Higbee for 1 yard (tackle by Tashaun Gipson),,
2,6:37,2,9,LAR 12,0,13,Matthew Stafford sacked by and Akiem Hicks for -9 yards and Robert Quinn for -9 yards,,
2,5:47,3,18,LAR 3,0,13,"Penalty on LAR: Delay of Game, 1 yard (accepted) (no play)",,
2,5:34,3,19,LAR 2,0,13,Matthew Stafford pass complete short left to Robert Woods for 6 yards (tackle by Roquan Smith),,
2,4:54,4,13,LAR 8,0,13,"Johnny Hekker punts 50 yards, returned by Nsimba Webster for 3 yards (tackle by Nick Scott)",,
2,4:42,1,10,CHI 45,0,13,Andy Dalton pass complete short right to Cole Kmet for 10 yards (tackle by Jordan Fuller),,
2,4:12,1,10,LAR 45,0,13,David Montgomery up the middle for 10 yards (tackle by David Long and Jordan Fuller),,
2,3:31,1,10,LAR 35,0,13,David Montgomery left guard for 3 yards (tackle by Sebastian Joseph-Day),,
2,2:52,2,7,LAR 32,0,13,Andy Dalton pass complete short right to Allen Robinson for 9 yards (tackle by Darious Williams),,
2,2:16,1,10,LAR 23,0,13,David Montgomery up the middle for 3 yards (tackle by Kenny Young),,
2,2:00,2,7,LAR 20,0,13,Andy Dalton pass complete short middle to Allen Robinson for 8 yards (tackle by Kenny Young),,
2,1:17,1,10,LAR 12,0,13,David Montgomery right tackle for no gain (tackle by Justin Hollins),,
2,1:10,,,,,,Timeout #2 by Los Angeles Rams,,
2,1:10,2,10,LAR 12,0,13,Andy Dalton scrambles right end for 9 yards (tackle by Darious Williams),,
2,0:40,3,1,LAR 3,6,13,"David Montgomery up the middle for 3 yards, touchdown",,
2,0:34,,,LAR 15,7,13,Cairo Santos kicks extra point good,,
2,0:34,,,CHI 35,7,13,"Cairo Santos kicks off 65 yards, touchback.",,
2,0:34,1,10,LAR 25,7,13,Matthew Stafford kneels for -2 yards,,
Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,7,13,"Cairo Santos kicks off 65 yards, touchback.",,
3,15:00,1,10,LAR 25,7,13,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Jaylon Johnson),,
3,14:57,2,10,LAR 25,7,13,Darrell Henderson left guard for no gain (tackle by Roquan Smith and Bilal Nichols),,
3,14:31,3,10,LAR 25,7,13,Matthew Stafford pass complete deep middle to Robert Woods for 19 yards (tackle by Kindle Vildor),,
3,14:02,1,10,LAR 44,7,19,"Matthew Stafford pass complete deep middle to Cooper Kupp for 56 yards, touchdown",,
3,13:52,,,CHI 15,7,20,Matt Gay kicks extra point good,,
3,13:52,,,LAR 35,7,20,"Penalty on Akiem Hicks: Roughing the Passer, 15 yards (accepted)",,
3,13:52,,,LAR 50,7,20,"Matt Gay kicks off 44 yards, returned by Khalil Herbert for 13 yards (tackle by Jake Funk)",,
3,13:49,1,10,CHI 19,7,20,Andy Dalton pass complete short right to Darnell Mooney for 6 yards (tackle by David Long),,
3,13:13,2,4,CHI 25,7,20,David Montgomery up the middle for 1 yard (tackle by Sebastian Joseph-Day and Kenny Young),,
3,12:32,3,3,CHI 26,7,20,Andy Dalton pass complete short left to Allen Robinson for 7 yards (tackle by Darious Williams),,
3,11:57,1,10,CHI 33,7,20,David Montgomery up the middle for 6 yards (tackle by Kenny Young),,
3,11:20,2,4,CHI 39,7,20,Andy Dalton pass complete short right to David Montgomery for 10 yards (tackle by Troy Reeder),,
3,10:43,1,10,CHI 49,7,20,Andy Dalton pass incomplete short right intended for Cole Kmet,,
3,10:36,2,10,CHI 49,7,20,Andy Dalton pass complete short right to Damien Williams for 8 yards (tackle by Jordan Fuller),,
3,9:56,3,2,LAR 43,7,20,Andy Dalton pass complete short middle to Cole Kmet for 3 yards (tackle by Troy Reeder),,
3,9:18,1,10,LAR 40,7,20,David Montgomery right tackle for 4 yards (tackle by Jonah Williams and Kenny Young),,
3,8:42,2,6,LAR 36,7,20,Andy Dalton pass complete short right to Marquise Goodwin for 10 yards (tackle by Troy Reeder and Darious Williams),,
