Quarter,Time,Tm,Detail,CHI,LAR
1.0,10:36,Rams,Van Jefferson 67 yard pass from Matthew Stafford (Matt Gay kick),0,7
,4:39,Rams,Matt Gay 53 yard field goal,0,10
2.0,11:39,Rams,Matt Gay 22 yard field goal,0,13
,0:34,Bears,David Montgomery 3 yard rush (Cairo Santos kick),7,13
3.0,13:52,Rams,Cooper Kupp 56 yard pass from Matthew Stafford (Matt Gay kick),7,20
,4:14,Bears,Justin Fields 3 yard rush (Cairo Santos kick),14,20
,1:19,Rams,Darrell Henderson 1 yard rush (Matt Gay kick),14,27
4.0,3:17,Rams,Robert Woods 2 yard pass from Matthew Stafford (Matt Gay kick),14,34
