Quarter,Time,Tm,Detail,NWE,GNB
1.0,10:47,Patriots,Daniel Graham 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
2.0,10:54,Patriots,Corey Dillon 1 yard rush (Stephen Gostkowski kick),14,0
,2:22,Patriots,Reche Caldwell 54 yard pass from Tom Brady (Stephen Gostkowski kick),21,0
3.0,0:43,Patriots,Ben Watson 8 yard pass from Tom Brady (Stephen Gostkowski kick),28,0
4.0,8:49,Patriots,Laurence Maroney 19 yard pass from Tom Brady (Stephen Gostkowski kick),35,0
