Quarter,Time,Down,ToGo,Location,NWE,GNB,Detail,EPB,EPA
1,9:42,1,10,NWE 35,7,0,Laurence Maroney left end for 4 yards (tackle by A.J. Hawk and Corey Williams),1.270,1.260
1,9:02,,,,7,0,Timeout #1 by Green Bay Packers,0.000,1.260
1,9:02,2,6,NWE 39,7,0,"Penalty on Matt Light: False Start, 5 yards (no play)",1.260,0.590
1,9:02,2,11,NWE 34,7,0,Tom Brady pass complete short right to Laurence Maroney for 1 yard (tackle by Al Harris),0.590,0.040
1,8:36,3,10,NWE 35,7,0,Tom Brady right end for 8 yards (tackle by Kabeer Gbaja-Biamila),0.040,-0.520
1,7:59,4,2,NWE 43,7,0,Josh Miller punts 31 yards,-0.520,-0.740
1,7:52,1,10,GNB 27,7,0,Ahman Green left end for 1 yard (tackle by Richard Seymour),0.740,0.330
1,7:12,2,9,GNB 28,7,0,Brett Favre pass complete short right to Greg Jennings for 26 yards (tackle by Artrell Hawkins and Junior Seau),0.330,2.520
1,6:23,1,10,NWE 46,7,0,Brett Favre pass incomplete deep middle intended for Greg Jennings,2.520,1.980
1,6:17,2,10,NWE 46,7,0,Brett Favre sacked by Rosevelt Colvin for -1 yards,1.980,1.160
1,5:41,3,11,NWE 47,7,0,Brett Favre pass incomplete short middle intended for Donald Driver,1.160,0.130
1,5:37,4,11,NWE 47,7,0,"Jon Ryan punts 47 yards, touchback",0.130,-0.280
1,5:28,1,10,NWE 20,7,0,Tom Brady pass complete short left to Reche Caldwell for 9 yards (tackle by Charles Woodson),0.280,0.950
1,4:52,2,1,NWE 29,7,0,Corey Dillon right tackle for 3 yards (tackle by Charles Woodson),0.950,1.070
1,4:14,1,10,NWE 32,7,0,Tom Brady pass incomplete deep middle intended for Reche Caldwell,1.070,0.530
1,4:09,2,10,NWE 32,7,0,"Tom Brady for no gain. Tom Brady fumbles, recovered by A.J. Hawk at NWE-30 (tackle by Daniel Graham)",0.530,-3.580
1,3:59,1,10,NWE 30,7,0,Ahman Green middle for 1 yard (tackle by Rosevelt Colvin),3.580,3.170
1,3:17,2,9,NWE 29,7,0,Brett Favre pass complete short left to Vernand Morency for 3 yards (tackle by Rosevelt Colvin),3.170,2.870
1,2:38,3,6,NWE 26,7,0,Brett Favre pass incomplete deep right intended for Greg Jennings,2.870,1.760
1,2:33,4,6,NWE 26,7,0,Dave Rayner 44 yard field goal no good,1.760,-1.200
1,2:28,1,10,NWE 34,7,0,Laurence Maroney right guard for 3 yards (tackle by A.J. Hawk),1.200,1.060
1,1:49,2,7,NWE 37,7,0,Tom Brady pass complete short middle to Jabar Gaffney for 4 yards (tackle by Nick Collins),1.060,0.890
1,1:11,3,3,NWE 41,7,0,Tom Brady pass complete short right to Troy Brown for 11 yards (tackle by Marquand Manuel),0.890,2.390
1,1:11,1,10,GNB 48,7,0,"Penalty on Logan Mankins: False Start, 5 yards (no play)",2.390,2.060
1,0:25,1,15,NWE 47,7,0,Laurence Maroney left tackle for 3 yards (tackle by Colin Cole),2.060,1.580
Quarter,Time,Down,ToGo,Location,NWE,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,GNB 50,7,0,Tom Brady pass complete short middle to Laurence Maroney for 9 yards (tackle by A.J. Hawk and Patrick Dendy),1.580,2.080
2,14:21,3,3,GNB 41,7,0,Kevin Faulk right tackle for 2 yards (tackle by Nick Barnett),2.080,0.660
2,13:44,4,1,GNB 39,7,0,Heath Evans left guard for 4 yards (tackle by A.J. Hawk),0.660,3.250
2,13:07,1,10,GNB 35,7,0,Laurence Maroney left guard for 4 yards (tackle by Aaron Kampman and Ryan Pickett),3.250,3.240
2,12:31,2,6,GNB 31,7,0,Laurence Maroney right tackle for 4 yards (tackle by Charles Woodson and Aaron Kampman),3.240,3.070
2,11:50,3,2,GNB 27,7,0,Corey Dillon left guard for 4 yards (tackle by Ryan Pickett and Brady Poppinga),3.070,4.040
2,11:10,1,10,GNB 23,7,0,"Tom Brady pass incomplete deep right intended for Daniel Graham. Penalty on Brady Poppinga: Defensive Pass Interfere, 22 yards (no play)",4.040,6.970
2,11:05,1,1,GNB 1,7,0,Tom Brady pass incomplete short right intended for Mike Vrabel,6.970,5.910
2,11:00,2,1,GNB 1,13,0,"Corey Dillon right tackle for 1 yard, touchdown",5.910,7.000
2,,,,GNB 2,14,0,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,14,0,"Stephen Gostkowski kicks off 70 yards, returned by Vernand Morency for 21 yards (tackle by Mike Wright)",0.000,0.340
2,10:48,1,10,GNB 21,14,0,Brett Favre pass complete short right to William Henderson for 6 yards (tackle by Mike Vrabel),0.340,0.610
2,10:09,2,4,GNB 27,14,0,Ahman Green left end for 2 yards (tackle by Richard Seymour and James Sanders),0.610,0.170
2,9:33,,,,14,0,Timeout #2 by New England Patriots,0.000,0.170
2,9:33,3,2,GNB 29,14,0,Brett Favre pass incomplete short right intended for Greg Jennings,0.170,-1.440
2,9:28,4,2,GNB 29,14,0,"Jon Ryan punts 50 yards, returned by Kevin Faulk for 8 yards (tackle by Noah Herron). Penalty on Chad Scott: Illegal Block Above the , 10 yards",-1.440,0.350
2,9:16,1,10,NWE 12,14,0,Tom Brady pass incomplete deep middle intended for Ben Watson,-0.350,-0.780
2,9:12,2,10,NWE 12,14,0,Laurence Maroney left end for 2 yards (tackle by Charles Woodson),-0.780,-1.190
2,8:40,3,8,NWE 14,14,0,"Penalty on Aaron Kampman: Neutral Zone Infraction, 5 yards (no play)",-1.190,-0.600
2,8:22,3,3,NWE 19,14,0,Tom Brady pass complete short left to Laurence Maroney for 5 yards (tackle by Cullen Jenkins),-0.600,0.540
2,7:39,1,10,NWE 24,14,0,"Penalty on Ryan O'Callaghan: False Start, 5 yards (no play)",0.540,0.130
2,7:20,1,15,NWE 19,14,0,Tom Brady pass complete short middle to Troy Brown for 5 yards (tackle by Brady Poppinga),0.130,0.000
2,6:44,2,10,NWE 24,14,0,Laurence Maroney left tackle for 2 yards (tackle by Nick Collins and Colin Cole),0.000,-0.430
2,6:01,3,8,NWE 26,14,0,Tom Brady pass incomplete deep left intended for Reche Caldwell (defended by Al Harris),-0.430,-1.630
2,5:55,4,8,NWE 26,14,0,Josh Miller punts 36 yards,-1.630,-1.470
2,5:46,1,10,GNB 38,14,0,Ahman Green middle for 2 yards (tackle by Vince Wilfork),1.470,1.190
2,5:02,2,8,GNB 40,14,0,Brett Favre pass incomplete short left intended for Greg Jennings,1.190,0.500
2,4:56,3,8,GNB 40,14,0,Brett Favre pass incomplete deep left intended for David Martin,0.500,-0.720
2,4:51,4,8,GNB 40,14,0,Jon Ryan punts 32 yards,-0.720,-0.870
2,4:41,1,10,NWE 29,14,0,"Tom Brady sacked by Corey Williams for -4 yards. Penalty on Al Harris: Defensive Holding, 5 yards (no play)",0.870,1.200
2,4:15,1,10,NWE 34,14,0,Laurence Maroney left guard for 5 yards (tackle by A.J. Hawk and Marquand Manuel),1.200,1.330
2,3:33,2,5,NWE 39,14,0,Tom Brady pass complete short right to Ben Watson for 4 yards (tackle by Nick Collins),1.330,1.090
2,3:08,3,2,NWE 43,14,0,Laurence Maroney left end for 3 yards (tackle by Al Harris),1.090,1.990
2,2:30,1,10,NWE 46,20,0,"Tom Brady pass complete deep middle to Reche Caldwell for 54 yards, touchdown",1.990,7.000
2,,,,GNB 2,21,0,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,21,0,"Stephen Gostkowski kicks off 68 yards, returned by Vernand Morency for 23 yards (tackle by Artrell Hawkins)",0.000,0.610
2,2:16,1,10,GNB 25,21,0,Ahman Green left end for -3 yards (tackle by Richard Seymour),0.610,-0.340
2,2:00,2,13,GNB 22,21,0,Brett Favre pass complete short right to Donald Driver for 38 yards (tackle by James Sanders). Penalty on Troy Brown: Defensive Holding (Declined),-0.340,2.920
2,1:51,1,10,NWE 40,21,0,Brett Favre sacked by Tully Banta-Cain and Tedy Bruschi for -10 yards,2.920,1.020
2,1:41,,,,21,0,Timeout #2 by Green Bay Packers,0.000,1.020
2,1:41,2,20,GNB 50,21,0,Aaron Rodgers pass incomplete deep right intended for Ruvell Martin,1.020,0.370
2,1:36,3,20,GNB 50,21,0,Aaron Rodgers pass incomplete short left intended for Greg Jennings,0.370,-0.060
2,1:32,4,20,GNB 50,21,0,"Jon Ryan punts 34 yards, muffed catch by Kevin Faulk, recovered by Kevin Faulk and returned for no gain",-0.060,0.140
2,1:08,1,10,NWE 16,21,0,Tom Brady kneels for -1 yards,-0.140,-0.780
2,0:39,2,11,NWE 15,21,0,Tom Brady kneels for -1 yards,-0.780,-1.610
Quarter,Time,Down,ToGo,Location,NWE,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,21,0,"Dave Rayner kicks off 62 yards, returned by Chad Jackson for 21 yards (tackle by Donald Lee)",0.000,0.870
3,14:56,1,10,NWE 29,21,0,Laurence Maroney right guard for 4 yards (tackle by Corey Williams and Ryan Pickett),0.870,0.870
3,14:19,2,6,NWE 33,21,0,Tom Brady pass incomplete short left intended for Jabar Gaffney,0.870,0.170
3,14:14,3,6,NWE 33,21,0,Tom Brady pass complete short middle to Reche Caldwell for 7 yards (tackle by Al Harris),0.170,1.600
3,13:39,1,10,NWE 40,21,0,Laurence Maroney middle for 6 yards (tackle by Marquand Manuel and Aaron Kampman),1.600,1.860
3,12:55,2,4,NWE 46,21,0,Laurence Maroney left end for 15 yards (tackle by Nick Collins),1.860,2.980
3,12:11,1,10,GNB 39,21,0,Tom Brady pass incomplete short right intended for Laurence Maroney,2.980,2.440
3,12:07,2,10,GNB 39,21,0,Corey Dillon left tackle for 2 yards (tackle by Cullen Jenkins),2.440,2.020
3,11:32,3,8,GNB 37,21,0,Tom Brady pass incomplete deep right intended for Jabar Gaffney,2.020,0.790
3,11:26,4,8,GNB 37,21,0,"Josh Miller punts 27 yards, fair catch by Charles Woodson",0.790,0.380
3,11:20,1,10,GNB 10,21,0,Aaron Rodgers pass complete short middle to Donald Lee for 16 yards (tackle by Tedy Bruschi),-0.380,0.670
3,10:42,1,10,GNB 26,21,0,Ahman Green right tackle for no gain (tackle by Ty Warren and Richard Seymour),0.670,0.130
3,10:04,2,10,GNB 26,21,0,Aaron Rodgers pass complete short right to Bubba Franks for 6 yards (tackle by Tedy Bruschi),0.130,0.230
3,9:28,3,4,GNB 32,21,0,Aaron Rodgers pass incomplete short right intended for Noah Herron,0.230,-1.240
3,9:20,4,4,GNB 32,21,0,Jon Ryan punts 47 yards,-1.240,-0.410
3,9:10,1,10,NWE 22,21,0,Corey Dillon left end for 1 yard (tackle by Kabeer Gbaja-Biamila and Marquand Manuel),0.410,0.000
3,8:24,2,9,NWE 23,21,0,Corey Dillon left end for 4 yards (tackle by Marquand Manuel),0.000,-0.160
3,7:42,3,5,NWE 27,21,0,Tom Brady pass incomplete short left intended for Laurence Maroney,-0.160,-1.570
3,7:38,4,5,NWE 27,21,0,"Josh Miller punts 33 yards, returned by Charles Woodson for 5 yards (tackle by Willie Andrews)",-1.570,-1.930
3,7:30,1,10,GNB 45,21,0,Aaron Rodgers pass incomplete short middle intended for Donald Driver (defended by Tedy Bruschi),1.930,1.380
3,7:28,2,10,GNB 45,21,0,Aaron Rodgers pass complete short right to Donald Driver for 4 yards (tackle by Troy Brown),1.380,1.220
3,6:48,3,6,GNB 49,21,0,Aaron Rodgers for 6 yards (tackle by Artrell Hawkins),1.220,2.590
3,6:20,1,10,NWE 45,21,0,Aaron Rodgers sacked by Mike Vrabel and Ty Warren for -6 yards,2.590,1.230
3,5:45,2,16,GNB 49,21,0,Aaron Rodgers right end for 5 yards (tackle by Mike Vrabel),1.230,1.220
3,5:01,3,11,NWE 46,21,0,Aaron Rodgers pass complete short right to Vernand Morency for 6 yards (tackle by Artrell Hawkins),1.220,0.590
3,4:13,4,5,NWE 40,21,0,Aaron Rodgers pass incomplete short right intended for Ruvell Martin,0.590,-1.600
3,4:08,1,10,NWE 40,21,0,Tom Brady pass complete deep left to Chad Jackson for 21 yards (tackle by Marquand Manuel),1.600,2.980
3,3:33,1,10,GNB 39,21,0,Laurence Maroney middle for 2 yards (tackle by Colin Cole),2.980,2.710
3,2:48,2,8,GNB 37,21,0,Tom Brady pass complete short middle to Ben Watson for 13 yards (tackle by Al Harris),2.710,3.970
3,2:09,1,10,GNB 24,21,0,Tom Brady pass complete short left to Troy Brown for 5 yards (tackle by Nick Barnett),3.970,4.120
3,1:33,2,5,GNB 19,21,0,Laurence Maroney right tackle for 11 yards (tackle by A.J. Hawk and Marquand Manuel),4.120,5.370
3,0:47,1,8,GNB 8,27,0,"Tom Brady pass complete short left to Ben Watson for 8 yards, touchdown",5.370,7.000
3,,,,GNB 2,28,0,Stephen Gostkowski kicks extra point good,0.000,0.000
3,,,,NWE 30,28,0,"Stephen Gostkowski kicks off 72 yards, returned by Vernand Morency for 26 yards (tackle by Tully Banta-Cain)",0.000,0.540
3,0:38,1,10,GNB 24,28,0,Ahman Green right tackle for 6 yards (tackle by Tedy Bruschi),0.540,0.810
3,0:09,2,4,GNB 30,28,0,Ahman Green right guard for 3 yards (tackle by Vince Wilfork and Tedy Bruschi),0.810,0.500
Quarter,Time,Down,ToGo,Location,NWE,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,,28,0,Timeout #1 by New England Patriots,0.000,0.500
4,15:00,3,1,GNB 33,28,0,Aaron Rodgers pass incomplete short left intended for Bubba Franks (defended by Mike Vrabel),0.500,-1.180
4,14:57,4,1,GNB 33,28,0,"Jon Ryan punts 49 yards, returned by Kevin Faulk for 3 yards (tackle by Jarrett Bush)",-1.180,-0.340
4,14:48,1,10,NWE 21,28,0,Corey Dillon left tackle for -1 yards (tackle by Colin Cole),0.340,-0.340
4,14:10,2,11,NWE 20,28,0,"Tom Brady sacked by Colin Cole for -4 yards. Tom Brady fumbles (forced by Colin Cole), recovered by Dan Koppen at NWE-23",-0.340,-0.630
4,13:20,,,,28,0,Timeout #1 by Green Bay Packers,0.000,-0.630
4,13:20,3,8,NWE 23,28,0,Tom Brady pass complete short left to Ben Watson for 13 yards (tackle by A.J. Hawk),-0.630,1.330
4,12:59,1,10,NWE 36,28,0,Corey Dillon left tackle for 2 yards (tackle by Marquand Manuel),1.330,1.060
4,12:13,2,8,NWE 38,28,0,Tom Brady pass incomplete short left intended for Reche Caldwell,1.060,0.370
4,12:07,3,8,NWE 38,28,0,Tom Brady pass incomplete short left intended for Kevin Faulk,0.370,-0.850
4,12:02,4,8,NWE 38,28,0,Josh Miller punts 46 yards,-0.850,0.140
4,11:54,1,10,GNB 16,28,0,Aaron Rodgers sacked by Ty Warren for -6 yards,-0.140,-1.220
4,11:26,2,16,GNB 10,28,0,Ahman Green middle for 2 yards (tackle by Tedy Bruschi and Jarvis Green),-1.220,-1.890
4,10:42,3,14,GNB 12,28,0,Aaron Rodgers pass incomplete deep left intended for Greg Jennings,-1.890,-2.490
4,10:35,4,14,GNB 12,28,0,"Jon Ryan punts 47 yards, returned by Kevin Faulk for 36 yards (tackle by Tracy White)",-2.490,-4.040
4,10:21,1,10,GNB 23,28,0,Laurence Maroney middle for 3 yards (tackle by Aaron Kampman and A.J. Hawk),4.040,3.900
4,9:41,2,7,GNB 20,28,0,Laurence Maroney left end for 1 yard (tackle by Colin Cole),3.900,3.340
4,8:57,3,6,GNB 19,34,0,"Tom Brady pass complete short left to Laurence Maroney for 19 yards, touchdown",3.340,7.000
4,,,,GNB 2,35,0,Stephen Gostkowski kicks extra point good,0.000,0.000
4,,,,NWE 30,35,0,"Stephen Gostkowski kicks off 66 yards, returned by Noah Herron for 9 yards (tackle by Pierre Woods)",0.000,-0.320
4,8:45,1,10,GNB 13,35,0,Ahman Green left end for 3 yards (tackle by Tedy Bruschi),-0.320,-0.440
4,8:13,2,7,GNB 16,35,0,Ahman Green right end for 9 yards (tackle by Mike Vrabel),-0.440,0.610
4,7:38,1,10,GNB 25,35,0,Ahman Green right guard for no gain (tackle by Tedy Bruschi),0.610,0.060
4,7:01,2,10,GNB 25,35,0,Vernand Morency left tackle for 5 yards (tackle by Mike Vrabel),0.060,0.040
4,6:19,3,5,GNB 30,35,0,Aaron Rodgers pass incomplete short left intended for Bubba Franks,0.040,-1.370
4,6:14,4,5,GNB 30,35,0,"Jon Ryan punts 54 yards, returned by Kevin Faulk for 5 yards (tackle by Jason Hunter). Penalty on Antwain Spann: Offensive Holding, 8 yards",-1.370,0.380
4,6:02,1,10,NWE 8,35,0,Corey Dillon middle for 4 yards (tackle by Ryan Pickett),-0.380,-0.490
4,5:23,2,6,NWE 12,35,0,Corey Dillon left end for 4 yards (tackle by Marquand Manuel and A.J. Hawk),-0.490,-0.480
4,5:23,3,2,NWE 16,35,0,"Penalty on Matt Light: False Start, 5 yards (no play)",-0.480,-1.070
4,4:37,3,7,NWE 11,35,0,Matt Cassel sacked by Kabeer Gbaja-Biamila for -5 yards,-1.070,-2.490
4,3:59,4,12,NWE 6,35,0,"Josh Miller punts 41 yards, returned by Ruvell Martin for -2 yards (tackle by Pierre Woods)",-2.490,-2.320
4,3:49,1,10,NWE 49,35,0,"Aaron Rodgers sacked by Mike Vrabel for -6 yards. Aaron Rodgers fumbles (forced by Mike Vrabel), recovered by Mike Wright at GNB-45 (tackle by Jason Spitz)",2.320,-2.590
4,3:43,1,10,GNB 45,35,0,Laurence Maroney right tackle for no gain (tackle by Kabeer Gbaja-Biamila),2.590,2.040
4,3:06,2,10,GNB 45,35,0,Laurence Maroney left tackle for 4 yards (tackle by Colin Cole and Brady Poppinga),2.040,1.880
4,2:24,3,6,GNB 41,35,0,Laurence Maroney right end for 6 yards (tackle by Nick Barnett),1.880,3.250
4,2:00,1,10,GNB 35,35,0,Vinny Testaverde kneels for -1 yards,3.250,2.570
4,1:18,2,11,GNB 36,35,0,Vinny Testaverde kneels for -1 yards,2.570,1.750
4,0:38,3,12,GNB 37,35,0,Vinny Testaverde kneels for -1 yards,1.750,0.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
