Unnamed: 0,NWE,GNB
First Downs,22,5
Rush-Yds-TDs,40-122-1,16-44-0
Cmp-Att-Yd-TD-INT,20-31-244-4-0,9-27-105-0-0
Sacked-Yards,2-9,5-29
Net Pass Yards,235,76
Total Yards,357,120
Fumbles-Lost,4-1,1-1
Turnovers,1,1
Penalties-Yards,6-38,3-32
Third Down Conv.,8-17,1-13
Fourth Down Conv.,2-2,0-1
Time of Possession,39:10,20:50
