Unnamed: 0,NYG,DAL
First Downs,21,26
Rush-Yds-TDs,21-90-1,39-169-2
Cmp-Att-Yd-TD-INT,21-35-228-1-0,21-30-261-2-2
Sacked-Yards,3-18,0-0
Net Pass Yards,210,261
Total Yards,300,430
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,7-66,13-86
Third Down Conv.,3-11,7-11
Fourth Down Conv.,0-2,0-1
Time of Possession,25:51,34:09
