Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Daniel Jones pass complete short right to Lawrence Cager for 20 yards (tackle by Jayron Kearse),0.610,1.930
1,14:23,1,10,NYG 45,0,0,Daniel Jones pass complete short right to Saquon Barkley for 2 yards (tackle by Damone Clark),1.930,1.650
1,13:45,2,8,NYG 47,0,0,Daniel Jones pass incomplete deep right intended for Darius Slayton,1.650,0.960
1,13:38,3,8,NYG 47,0,0,Daniel Jones pass complete short middle to Saquon Barkley for 5 yards (tackle by Leighton Vander Esch),0.960,0.070
1,12:55,4,3,DAL 48,0,0,"Jamie Gillan punts 48 yards, touchback.",0.070,-0.280
1,12:46,1,10,DAL 20,0,0,CeeDee Lamb right end for 12 yards (tackle by Cordale Flott),0.280,1.070
1,12:17,1,10,DAL 32,0,0,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Julian Love),1.070,1.610
1,11:52,2,2,DAL 40,0,0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Darnay Holmes),1.610,0.890
1,11:45,3,2,DAL 40,0,0,Dak Prescott pass incomplete deep middle intended for Michael Gallup,0.890,-0.720
1,11:40,4,2,DAL 40,0,0,Ezekiel Elliott left tackle for 1 yard (tackle by Jaylon Smith),-0.720,-2.920
1,11:35,1,10,DAL 40,0,0,Daniel Jones pass complete short middle to Chris Myarick for 23 yards (tackle by Trevon Diggs),2.920,4.440
1,10:47,1,10,DAL 17,0,0,Daniel Jones sacked by Dorance Armstrong for -7 yards,4.440,2.950
1,10:06,2,17,DAL 24,0,0,"Daniel Jones pass complete to Isaiah Hodgins for no gain, touchdown. Penalty on Tyre Phillips: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.950,2.270
1,9:59,2,22,DAL 29,0,0,Daniel Jones pass incomplete short right,2.270,1.620
1,9:52,3,22,DAL 29,0,0,"Daniel Jones pass incomplete deep right. Penalty on Daniel Jones: Intentional Grounding, 10 yards (accepted) . Penalty on Daniel Jones: Illegal Shift, 5 yards (declined)",1.620,0.660
1,9:49,4,32,DAL 39,3,0,Graham Gano 57 yard field goal good,0.660,3.000
1,9:44,,,NYG 35,3,0,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,9:44,1,10,DAL 25,3,0,Ezekiel Elliott left tackle for 15 yards (tackle by Jason Pinnock),0.610,1.530
1,9:17,1,10,DAL 39,3,0,"Ezekiel Elliott right guard for no gain (tackle by Kayvon Thibodeaux). Penalty on Zack Martin: Offensive Holding, 10 yards (accepted) (no play)",1.530,0.870
1,9:01,1,20,DAL 29,3,0,Dak Prescott pass complete short left to Jake Ferguson for 13 yards (tackle by Julian Love),0.870,1.530
1,8:24,2,6,DAL 43,3,0,Ezekiel Elliott up the middle for 10 yards (tackle by Jason Pinnock),1.530,2.460
1,7:43,1,10,NYG 47,3,0,Tony Pollard right tackle for 4 yards (tackle by Julian Love),2.460,2.450
1,7:15,2,6,NYG 43,3,0,"Dak Prescott pass short left intended for Michael Gallup is intercepted by Rodarius Williams at NYG-30 and returned for 1 yard Replay Assistant challenged the pass interception ruling, and the play was upheld.",2.450,-1.000
1,7:10,1,10,NYG 31,3,0,Saquon Barkley right guard for 3 yards (tackle by Leighton Vander Esch),1.000,0.870
1,6:46,2,7,NYG 34,3,0,Saquon Barkley left end for 3 yards (tackle by DaRon Bland),0.870,0.560
1,6:09,3,4,NYG 37,3,0,Daniel Jones pass incomplete short right intended for Richie James,0.560,-0.910
1,6:06,4,4,NYG 37,3,0,"Jamie Gillan punts 49 yards, fair catch by KaVontae Turpin at DAL-14. Penalty on Nahshon Wright: Offensive Holding, 7 yards (accepted)",-0.910,0.380
1,5:58,1,10,DAL 7,3,0,Tony Pollard up the middle for 4 yards (tackle by Jaylon Smith and Julian Love),-0.380,-0.490
1,5:26,2,6,DAL 11,3,0,Tony Pollard right tackle for 2 yards (tackle by Dexter Lawrence),-0.490,-0.720
1,4:48,3,4,DAL 13,3,0,Dak Prescott pass complete short right to Michael Gallup for 10 yards (tackle by Nick McCloud),-0.720,0.480
1,4:05,1,10,DAL 23,3,0,Tony Pollard up the middle for 7 yards (tackle by Jason Pinnock),0.480,0.880
1,3:28,2,3,DAL 30,3,0,Tony Pollard right tackle for no gain (tackle by Jihad Ward),0.880,0.170
1,2:52,3,3,DAL 30,3,0,Dak Prescott pass complete short left to Michael Gallup for 9 yards (tackle by Cordale Flott),0.170,1.530
1,2:14,1,10,DAL 39,3,0,Dak Prescott pass complete short right to Michael Gallup for 5 yards (tackle by Nick McCloud),1.530,1.660
