Quarter,Time,Tm,Detail,NYJ,MIA
1.0,12:55,Jets,Jermaine Kearse 29 yard pass from Josh McCown (Chandler Catanzaro kick),7,0
,10:44,Dolphins,Jarvis Landry 4 yard pass from Jay Cutler (Cody Parkey kick),7,7
,1:27,Jets,Robbie Chosen 18 yard pass from Josh McCown (Chandler Catanzaro kick),14,7
2.0,6:14,Dolphins,Anthony Fasano 4 yard pass from Jay Cutler (Cody Parkey kick),14,14
,1:51,Jets,Josh McCown 1 yard rush (Chandler Catanzaro kick),21,14
3.0,1:41,Jets,Austin Seferian-Jenkins 10 yard pass from Josh McCown (Chandler Catanzaro kick),28,14
4.0,11:21,Dolphins,Kenny Stills 28 yard pass from Matt Moore (Cody Parkey kick),28,21
,6:19,Dolphins,Kenny Stills 2 yard pass from Matt Moore (Cody Parkey kick),28,28
,0:22,Dolphins,Cody Parkey 39 yard field goal,28,31
