Quarter,Time,Tm,Detail,NYG,DAL
1.0,11:53,Giants,Lawrence Tynes 41 yard field goal,3,0
,7:11,Giants,Lawrence Tynes 37 yard field goal,6,0
,3:41,Giants,Andre Brown 1 yard rush (Lawrence Tynes kick),13,0
2.0,14:22,Giants,Lawrence Tynes 26 yard field goal,16,0
,13:05,Giants,Jason Pierre-Paul 28 yard interception return (Lawrence Tynes kick),23,0
,5:22,Cowboys,Felix Jones 4 yard rush (Dan Bailey kick),23,7
,0:58,Cowboys,Dan Bailey 51 yard field goal,23,10
3.0,9:16,Cowboys,Tony Romo 1 yard rush (Dan Bailey kick),23,17
,3:43,Cowboys,John Phillips 1 yard pass from Tony Romo (Dan Bailey kick),23,24
4.0,10:20,Giants,Lawrence Tynes 43 yard field goal,26,24
,3:31,Giants,Lawrence Tynes 37 yard field goal,29,24
