Unnamed: 0,NYG,DAL
First Downs,11,28
Rush-Yds-TDs,28-103-1,17-19-2
Cmp-Att-Yd-TD-INT,15-29-192-0-1,36-62-437-1-4
Sacked-Yards,1-2,4-22
Net Pass Yards,190,415
Total Yards,293,434
Fumbles-Lost,1-1,4-2
Turnovers,2,6
Penalties-Yards,5-45,2-10
Third Down Conv.,3-15,7-14
Fourth Down Conv.,0-0,1-2
Time of Possession,27:42,32:18
