Quarter,Time,Tm,Detail,CIN,PIT
1.0,11:23,Steelers,Chris Boswell 41 yard field goal,0,3
,4:50,Steelers,Chris Boswell 30 yard field goal,0,6
,1:51,Steelers,Diontae Johnson 12 yard pass from Ben Roethlisberger (pass failed),0,12
2.0,10:37,Bengals,Tee Higgins 2 yard pass from Joe Burrow (Randy Bullock kick),7,12
,7:23,Steelers,JuJu Smith-Schuster 8 yard pass from Ben Roethlisberger (Chris Boswell kick),7,19
,1:48,Steelers,Chris Boswell 45 yard field goal,7,22
3.0,4:22,Steelers,Chase Claypool 11 yard pass from Ben Roethlisberger (Chris Boswell kick),7,29
4.0,10:31,Steelers,Chase Claypool 5 yard pass from Ben Roethlisberger (Chris Boswell kick),7,36
,5:05,Bengals,Randy Bullock 37 yard field goal,10,36
