Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Giovani Bernard,CIN,8,30,0,1,13,1.6,17,2.1,0,
Samaje Perine,CIN,7,48,0,3,34,4.9,14,2.0,0,
Trayveon Williams,CIN,5,22,0,2,8,1.6,14,2.8,0,
Shawn Williams,CIN,1,39,0,1,39,39.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Conner,PIT,13,36,0,2,14,1.1,22,1.7,1,13.0
Benny Snell Jr.,PIT,3,12,0,,4,1.3,8,2.7,0,
Chase Claypool,PIT,2,-3,0,0,-3,-1.5,0,0.0,1,2.0
Ray-Ray McCloud,PIT,1,-1,0,,-1,-1.0,0,0.0,0,
Ben Roethlisberger,PIT,1,0,0,0,0,0.0,0,0.0,0,
