#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:23,CIN 25,3,1:05,-2,Punt
2,1,8:18,CIN 12,3,1:03,3,Punt
3,1,4:50,CIN 21,3,1:58,2,Punt
4,1,1:51,CIN 19,3,1:42,35,Fumble
5,2,13:58,CIN 10,8,3:21,90,Touchdown
6,2,7:23,CIN 25,5,3:15,9,Punt
7,2,1:48,CIN 22,8,1:48,51,Downs
8,3,15:00,CIN 25,4,1:37,14,Punt
9,3,10:56,CIN 15,5,2:22,18,Punt
10,3,4:22,CIN 25,3,0:25,0,Punt
11,3,2:11,CIN 20,3,1:25,6,Punt
12,4,14:42,CIN 3,3,1:30,5,Punt
13,4,10:31,CIN 25,10,5:26,56,Field Goal
14,4,2:35,CIN 45,5,2:35,22,End of Game
