Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
1,10:16,2,20,NWE 10,0,3,Tom Brady pass complete short middle to Julian Edelman for 11 yards (tackle by Stanford Routt),-1.510,-0.820
1,9:20,3,9,NWE 21,0,3,"Tom Brady sacked by Richard Seymour for -11 yards. Penalty on Richard Seymour: Unnecessary Roughness, 15 yards (no play)",-0.820,1.330
1,8:53,1,10,NWE 36,0,3,BenJarvus Green-Ellis right end for 7 yards (tackle by Rolando McClain),1.330,1.740
1,8:27,2,3,NWE 43,0,3,BenJarvus Green-Ellis left guard for 7 yards (tackle by Tyvon Branch),1.740,2.260
1,7:49,1,10,,0,3,Tom Brady pass incomplete deep left intended for Matt Slater,2.260,1.710
1,7:43,2,10,,0,3,"BenJarvus Green-Ellis left guard for 3 yards (tackle by Richard Seymour and Trevor Scott). Penalty on Richard Seymour: Face Mask (15 Yards), 15 yards",1.710,3.450
1,7:21,1,10,OAK 32,0,3,Stevan Ridley right end for 15 yards (tackle by Joe Porter),3.450,4.440
1,6:49,1,10,OAK 17,0,3,BenJarvus Green-Ellis right end for 2 yards (tackle by Lamarr Houston and Kamerion Wimbley),4.440,4.150
1,6:12,2,8,OAK 15,6,3,"Tom Brady pass complete short left to Wes Welker for 15 yards, touchdown",4.150,7.000
1,,,,OAK 2,7,3,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 35,7,3,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,0.280
1,6:07,1,10,OAK 20,7,3,Darren McFadden right tackle for 3 yards (tackle by Kyle Love),0.280,0.140
1,6:01,2,7,OAK 23,7,3,"Penalty on Khalif Barnes: Illegal Substitution, 5 yards (no play)",0.140,-0.630
1,5:12,2,12,OAK 18,7,3,Jason Campbell pass complete short middle to Richard Gordon for 2 yards (tackle by Devin McCourty and Jerod Mayo),-0.630,-0.960
1,4:34,3,10,OAK 20,7,3,Jason Campbell pass complete deep left to Darrius Heyward-Bey for 16 yards (tackle by Kyle Arrington),-0.960,1.330
1,4:04,1,10,OAK 36,7,3,Jason Campbell pass complete short left to Darren McFadden for 5 yards (tackle by Rob Ninkovich),1.330,1.470
1,3:33,2,5,OAK 41,7,3,Darren McFadden left tackle for no gain (tackle by Shaun Ellis and Brandon Spikes),1.470,0.760
1,2:53,3,5,OAK 41,7,3,Jason Campbell pass complete short middle to Michael Bush for 11 yards (tackle by Jerod Mayo and Kyle Arrington),0.760,2.390
1,2:11,1,10,NWE 48,7,3,Jason Campbell pass incomplete short left intended for Jacoby Ford,2.390,1.850
1,2:06,2,10,NWE 48,7,3,"Jason Campbell left end for 3 yards. Jason Campbell fumbles, recovered by Jason Campbell at NWE-45",1.850,1.550
1,1:19,3,7,NWE 45,7,3,Jason Campbell up the middle for 5 yards (tackle by Gerard Warren),1.550,0.590
1,1:12,4,2,NWE 40,7,3,"Penalty on Shane Lechler: Delay of Game, 5 yards (no play)",0.590,0.270
1,0:13,4,7,NWE 45,7,3,Shane Lechler punts 41 yards,0.270,0.380
1,0:03,1,10,NWE 4,7,3,Tom Brady pass complete short left to Rob Gronkowski for 15 yards (tackle by Tyvon Branch),-0.380,0.150
Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 19,7,3,Stevan Ridley right end for 25 yards (tackle by Rolando McClain). Penalty on Richard Seymour: Defensive Offside (Declined),0.150,1.860
2,14:34,1,10,NWE 44,7,3,Tom Brady pass incomplete short right intended for Stevan Ridley,1.860,1.320
2,14:30,2,10,NWE 44,7,3,Stevan Ridley left end for -4 yards (tackle by Jarvis Moss),1.320,0.100
2,13:50,3,14,NWE 40,7,3,Tom Brady pass incomplete deep middle intended for Wes Welker,0.100,-0.720
2,13:43,4,14,NWE 40,7,3,Zoltan Mesko punts 48 yards,-0.720,0.350
2,13:32,1,10,OAK 12,7,3,Darren McFadden left tackle for 41 yards (tackle by Patrick Chung),-0.350,2.460
2,13:08,1,10,NWE 47,7,3,Jason Campbell up the middle for 17 yards (tackle by Jerod Mayo),2.460,3.580
2,12:28,1,10,NWE 30,7,3,Jason Campbell pass complete deep middle to Kevin Boss for 23 yards (tackle by Patrick Chung),3.580,5.600
2,11:43,1,7,NWE 7,7,3,Darren McFadden up the middle for 5 yards (tackle by Jerod Mayo),5.600,5.720
2,10:59,2,2,NWE 2,7,3,Michael Bush left guard for 1 yard (tackle by James Ihedigbo),5.720,5.170
2,10:23,3,1,NWE 1,7,9,"Michael Bush left tackle for 1 yard, touchdown",5.170,7.000
2,,,,NWE 2,7,10,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,7,10,"Sebastian Janikowski kicks off 65 yards, returned by Julian Edelman for 21 yards (tackle by Brandon Myers). Penalty on Michael Mitchell: Taunting, 15 yards, Penalty on Lamarr Houston: Unnecessary Roughness (Declined)",0.000,1.330
2,10:15,1,10,NWE 36,7,10,Tom Brady pass complete short left to Wes Welker for 24 yards (tackle by Chimdi Chekwa),1.330,2.920
2,9:40,1,10,OAK 40,7,10,"Tom Brady pass incomplete deep middle intended for Wes Welker. Penalty on Chimdi Chekwa: Illegal Contact, 5 yards (no play)",2.920,3.250
2,9:33,1,10,OAK 35,7,10,BenJarvus Green-Ellis right end for 2 yards (tackle by Desmond Bryant),3.250,2.970
2,9:03,2,8,OAK 33,7,10,BenJarvus Green-Ellis left guard for 11 yards (tackle by Matt Giordano and Jerome Boyd),2.970,4.110
2,8:23,1,10,OAK 22,7,10,Tom Brady pass complete deep left to Wes Welker for 21 yards (tackle by Chimdi Chekwa),4.110,6.970
2,7:54,1,1,OAK 1,7,10,Tom Brady pass incomplete short right intended for Rob Gronkowski,6.970,5.910
2,7:49,2,1,OAK 1,13,10,"BenJarvus Green-Ellis left tackle for 1 yard, touchdown",5.910,7.000
2,,,,OAK 2,14,10,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 35,14,10,"Stephen Gostkowski kicks off 67 yards, returned by Taiwan Jones for 16 yards (tackle by Josh Barrett)",0.000,-0.280
2,7:37,1,10,OAK 14,14,10,Darren McFadden up the middle for 5 yards (tackle by Brandon Spikes),-0.280,-0.040
2,7:03,2,5,OAK 19,14,10,Jason Campbell pass complete short right to Michael Bush for 2 yards (tackle by Kyle Arrington),-0.040,-0.560
2,6:20,3,3,OAK 21,14,10,Jason Campbell pass complete deep left to Darrius Heyward-Bey for 28 yards (tackle by Devin McCourty and Tracy White),-0.560,2.190
2,5:40,1,10,OAK 49,14,10,"Michael Bush up the middle for no gain (tackle by Vince Wilfork and Gary Guyton). Penalty on NWE: Defensive 12 On-field, 5 yards (no play)",2.190,2.920
2,5:01,1,5,NWE 46,14,10,Michael Bush up the middle for 3 yards (tackle by Tony Carter),2.920,2.730
2,4:39,2,2,NWE 43,14,10,Michael Bush right tackle for 7 yards (tackle by Gary Guyton),2.730,3.180
2,3:56,1,10,NWE 36,14,10,Jason Campbell pass incomplete,3.180,2.640
2,3:50,2,10,NWE 36,14,10,Jacoby Ford right end for 30 yards (tackle by Sergio Brown and Patrick Chung),2.640,5.830
2,3:01,1,6,NWE 6,14,10,Michael Bush left tackle for no gain (tackle by Rob Ninkovich),5.830,4.950
2,2:24,2,6,NWE 6,14,10,Jason Campbell pass incomplete is intercepted by Patrick Chung,4.950,-0.280
2,2:15,1,10,NWE 20,14,10,Danny Woodhead left end for 12 yards (tackle by Matt Giordano),0.280,1.070
2,2:00,1,10,NWE 32,14,10,Danny Woodhead up the middle for 1 yard (tackle by Tyvon Branch),1.070,0.660
2,1:27,2,9,NWE 33,14,10,Tom Brady pass complete short left to Chad Johnson for 15 yards,0.660,2.130
2,1:22,1,10,NWE 48,14,10,Tom Brady pass incomplete deep middle intended for Rob Gronkowski (defended by Rolando McClain),2.130,1.580
2,1:16,2,10,NWE 48,14,10,Tom Brady pass complete short left to Chad Johnson for 11 yards,1.580,2.850
2,1:10,1,10,OAK 41,14,10,BenJarvus Green-Ellis right tackle for 6 yards (tackle by Joe Porter),2.850,3.120
2,0:48,2,4,OAK 35,14,10,Tom Brady pass complete short middle to BenJarvus Green-Ellis for 9 yards (tackle by Rolando McClain and Tyvon Branch),3.120,3.840
2,0:26,1,10,OAK 26,14,10,Tom Brady pass incomplete deep left intended for Wes Welker,3.840,3.300
2,0:21,2,10,OAK 26,14,10,Tom Brady pass incomplete deep middle intended for Rob Gronkowski (defended by Tyvon Branch),3.300,2.610
2,0:15,,,,14,10,Timeout #2 by Oakland Raiders,0.000,2.610
2,0:15,3,10,OAK 26,14,10,Tom Brady pass incomplete deep right intended for Deion Branch,2.610,1.740
2,0:11,4,10,OAK 26,17,10,Stephen Gostkowski 44 yard field goal good,1.740,3.000
2,,,,NWE 35,17,10,"Stephen Gostkowski kicks off 47 yards, returned by Rock Cartwright for 1 yard (tackle by Sergio Brown)",0.000,1.270
Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,17,10,"Sebastian Janikowski kicks off 72 yards, returned by Julian Edelman for 26 yards",0.000,0.150
3,14:54,1,10,NWE 19,17,10,Stevan Ridley right tackle for no gain (tackle by Lamarr Houston and Quentin Groves),0.150,-0.390
3,14:14,2,10,NWE 19,17,10,Tom Brady pass complete short left to Stevan Ridley for 3 yards (tackle by Rolando McClain and Joe Porter),-0.390,-0.680
3,13:24,3,7,NWE 22,17,10,Tom Brady pass complete deep right to Wes Welker for 32 yards (tackle by Tyvon Branch),-0.680,2.520
3,12:57,1,10,OAK 46,17,10,"Stevan Ridley left guard for no gain. Penalty on Quentin Groves: Defensive Offside, 5 yards (no play)",2.520,3.250
3,12:34,1,5,OAK 41,17,10,Tom Brady pass complete short right to Wes Welker for 4 yards (tackle by Desmond Bryant),3.250,3.190
3,11:50,2,1,OAK 37,17,10,Tom Brady pass incomplete short left intended for Deion Branch,3.190,2.480
3,11:46,3,1,OAK 37,17,10,BenJarvus Green-Ellis left end for 4 yards (tackle by Chimdi Chekwa),2.480,3.380
3,11:15,1,10,OAK 33,23,10,"Stevan Ridley right tackle for 33 yards, touchdown",3.380,7.000
3,,,,OAK 2,24,10,Stephen Gostkowski kicks extra point good,0.000,0.000
3,,,,NWE 35,24,10,"Stephen Gostkowski kicks off 74 yards, returned by Jacoby Ford for 27 yards (tackle by Jeff Tarpinian)",0.000,0.040
3,11:02,1,10,OAK 18,24,10,Darren McFadden left end for 11 yards (tackle by Gary Guyton and Patrick Chung),0.040,0.870
3,10:23,1,10,OAK 29,24,10,Jason Campbell pass incomplete deep right intended for Denarius Moore,0.870,0.330
3,10:17,2,10,OAK 29,24,10,Darren McFadden left guard for 2 yards (tackle by Gary Guyton),0.330,-0.100
3,9:37,3,8,OAK 31,24,10,Jason Campbell pass complete short middle to Derek Hagan for 10 yards (tackle by Devin McCourty),-0.100,1.660
3,8:59,1,10,OAK 41,24,10,Jason Campbell pass complete short left to Kevin Boss for 20 yards (tackle by Sergio Brown and Gary Guyton),1.660,2.980
3,8:14,1,10,NWE 39,24,10,Jason Campbell pass incomplete short right intended for Darren McFadden,2.980,2.440
3,8:07,2,10,NWE 39,24,10,Darren McFadden right end for 6 yards (tackle by Vince Wilfork),2.440,2.540
3,7:21,3,4,NWE 33,24,10,Jason Campbell pass complete short right to Derek Hagan for 4 yards (tackle by Devin McCourty),2.540,3.640
3,6:56,1,10,NWE 29,24,10,Michael Bush left end for 9 yards (tackle by Sergio Brown),3.640,4.320
3,6:11,2,1,NWE 20,24,10,Jason Campbell pass complete short right to Rock Cartwright for no gain,4.320,3.600
3,5:26,3,1,NWE 20,24,10,Michael Bush up the middle for 5 yards (tackle by Rob Ninkovich),3.600,4.580
3,4:48,1,10,NWE 15,24,10,Michael Bush up the middle for no gain (tackle by Tony Carter and Rob Ninkovich),4.580,3.950
3,4:12,2,10,NWE 15,24,10,Jason Campbell pass incomplete short left intended for Jacoby Ford,3.950,3.100
3,4:07,3,10,NWE 15,24,10,Jason Campbell pass complete short middle to Michael Bush for 7 yards (tackle by Dane Fletcher and Kyle Arrington),3.100,2.980
3,3:25,4,3,NWE 8,24,13,Sebastian Janikowski 26 yard field goal good,2.980,3.000
3,,,,OAK 35,24,13,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
3,3:21,1,10,NWE 20,24,13,"Tom Brady pass complete short left to Chad Johnson for 8 yards (tackle by Joe Porter). Penalty on Wes Welker: Illegal Motion, 5 yards (no play)",0.280,-0.310
3,2:49,1,15,NWE 15,24,13,Tom Brady pass incomplete deep middle intended for Wes Welker,-0.310,-1.070
3,2:44,2,15,NWE 15,24,13,Tom Brady pass complete short middle to Wes Welker for 9 yards (tackle by Matt Giordano and Joe Porter),-1.070,-0.430
3,2:00,3,6,NWE 24,24,13,Tom Brady pass complete deep right to Wes Welker for 19 yards (tackle by Jerome Boyd),-0.430,1.800
3,1:20,1,10,NWE 43,24,13,BenJarvus Green-Ellis up the middle for 15 yards (tackle by Tyvon Branch and Matt Giordano),1.800,2.790
3,0:38,1,10,OAK 42,24,13,Tom Brady pass complete short middle to Wes Welker for 6 yards (tackle by Rolando McClain),2.790,3.050
Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,OAK 36,24,13,Tom Brady pass complete deep left to Wes Welker for 28 yards (tackle by Jerome Boyd),3.050,5.370
4,14:22,1,8,OAK 8,24,13,BenJarvus Green-Ellis left end for 4 yards (tackle by Kamerion Wimbley and Tyvon Branch),5.370,5.340
4,13:43,2,4,OAK 4,30,13,"Tom Brady pass complete short middle to Deion Branch for 4 yards, touchdown",5.340,7.000
4,,,,OAK 2,31,13,Stephen Gostkowski kicks extra point good,0.000,0.000
4,,,,NWE 35,31,13,"Stephen Gostkowski kicks off 67 yards, returned by Jacoby Ford for 18 yards (tackle by Matt Slater)",0.000,-0.140
4,13:34,1,10,OAK 16,31,13,Jason Campbell pass complete short left to Darren McFadden for 26 yards (tackle by Sergio Brown),-0.140,1.730
4,12:51,1,10,OAK 42,31,13,Jason Campbell pass complete short left to Darren McFadden for 2 yards (tackle by Kyle Arrington),1.730,1.460
4,12:22,2,8,OAK 44,31,13,Jason Campbell pass incomplete short right intended for Denarius Moore,1.460,0.760
4,12:17,3,8,OAK 44,31,13,Jason Campbell pass complete short left to Darrius Heyward-Bey for 13 yards (tackle by Dane Fletcher),0.760,2.720
4,11:45,1,10,NWE 43,31,13,Darren McFadden right end for no gain (tackle by Brandon Spikes and Rob Ninkovich),2.720,2.180
4,11:13,,,,31,13,Timeout #1 by New England Patriots,0.000,2.180
4,11:13,2,10,NWE 43,31,13,Darren McFadden up the middle for -2 yards (tackle by Tony Carter),2.180,1.220
4,10:36,3,12,NWE 45,31,13,"Jason Campbell pass incomplete deep middle intended for Darrius Heyward-Bey. Penalty on Patrick Chung: Unnecessary Roughness, 15 yards (no play)",1.220,3.580
4,10:28,1,10,NWE 30,31,13,Jason Campbell pass incomplete short middle intended for Darren McFadden is intercepted by Vince Wilfork at NWE-30 and returned for 19 yards (tackle by Darren McFadden),3.580,-2.190
4,10:19,1,10,NWE 49,31,13,Julian Edelman right end for -1 yards (tackle by Lamarr Houston),2.190,1.510
4,9:44,2,11,NWE 48,31,13,"Tom Brady pass incomplete short right intended for Julian Edelman (defended by Tyvon Branch). Penalty on Brian Waters: Offensive Holding, 10 yards (no play)",1.510,0.160
4,9:40,2,21,NWE 38,31,13,Stevan Ridley right tackle for 4 yards (tackle by Jerome Boyd and Rolando McClain),0.160,0.040
4,9:01,3,17,NWE 42,31,13,Tom Brady sacked by Michael Mitchell for 0 yards,0.040,-0.590
4,8:33,4,17,NWE 42,31,13,Zoltan Mesko punts 48 yards,-0.590,0.380
4,8:21,1,10,OAK 10,31,13,Jason Campbell up the middle for 4 yards (tackle by Mark Anderson),-0.380,-0.460
4,8:02,2,6,OAK 14,31,13,Jason Campbell pass complete short right to Denarius Moore for 6 yards (tackle by Devin McCourty),-0.460,0.280
4,7:40,1,10,OAK 20,31,13,Darren McFadden left end for 1 yard (tackle by Tracy White and Mark Anderson),0.280,-0.130
4,7:17,2,9,OAK 21,31,13,Jason Campbell pass complete short right to Derek Hagan for 6 yards (tackle by Antwaun Molden),-0.130,-0.030
4,6:56,3,3,OAK 27,31,13,Jason Campbell pass incomplete short left intended for Darrius Heyward-Bey,-0.030,-1.570
4,6:49,4,3,OAK 27,31,13,"Shane Lechler punts 63 yards, returned by Julian Edelman for 15 yards (tackle by Darryl Blackstock)",-1.570,-0.610
4,6:38,1,10,NWE 25,31,13,BenJarvus Green-Ellis left end for 6 yards (tackle by Rolando McClain and Tommy Kelly),0.610,0.870
4,5:54,2,4,NWE 31,31,13,BenJarvus Green-Ellis right guard for 6 yards (tackle by Tyvon Branch and Lamarr Houston),0.870,1.400
4,5:13,1,10,NWE 37,31,13,BenJarvus Green-Ellis right end for no gain (tackle by Richard Seymour and Lamarr Houston),1.400,0.860
4,4:29,2,10,NWE 37,31,13,Tom Brady pass incomplete deep middle intended for Rob Gronkowski,0.860,0.170
4,4:22,3,10,NWE 37,31,13,Tom Brady pass incomplete short left intended for Wes Welker,0.170,-0.910
4,4:19,4,10,NWE 37,31,13,"Zoltan Mesko punts 51 yards, returned by Denarius Moore for 58 yards (tackle by Zoltan Mesko). Penalty on Darryl Blackstock: Illegal Block Above the Waist, 10 yards",-0.910,-0.280
4,4:02,1,10,OAK 20,31,13,Jason Campbell pass incomplete short left intended for Chaz Schilens,0.280,-0.270
4,3:59,2,10,OAK 20,31,13,Jason Campbell pass complete short left to Derek Hagan for 7 yards (tackle by Antwaun Molden),-0.270,-0.030
4,3:54,3,3,OAK 27,31,13,Jason Campbell pass incomplete short left intended for Derek Hagan,-0.030,-1.570
4,3:51,4,3,OAK 27,31,13,Jason Campbell pass incomplete short left intended for Darrius Heyward-Bey,-1.570,-3.840
4,3:43,1,10,OAK 26,31,13,Tom Brady pass incomplete short right intended for Deion Branch,3.840,3.300
4,3:36,2,10,OAK 26,31,13,Stevan Ridley left tackle for 3 yards (tackle by Desmond Bryant),3.300,3.010
4,3:30,,,,31,13,Timeout #1 by Oakland Raiders,0.000,3.010
4,3:30,3,7,OAK 23,31,13,Stevan Ridley right end for 20 yards (tackle by Matt Giordano),3.010,6.510
4,3:21,,,,31,13,Timeout #2 by New England Patriots,0.000,6.510
4,3:21,1,3,OAK 3,31,13,BenJarvus Green-Ellis up the middle for no gain (tackle by Richard Seymour),6.510,5.530
4,2:40,2,3,OAK 3,31,13,BenJarvus Green-Ellis up the middle for 1 yard (tackle by Kamerion Wimbley and Tommy Kelly),5.530,4.950
4,1:59,3,2,OAK 2,31,13,Stevan Ridley right tackle for 1 yard (tackle by Quentin Groves and Tommy Kelly),4.950,3.550
4,1:23,4,1,OAK 1,31,13,Stevan Ridley up the middle for no gain (tackle by Jerome Boyd and John Henderson),3.550,0.380
4,1:16,1,10,OAK 1,31,13,Jason Campbell pass complete deep left to Darrius Heyward-Bey for 58 yards (tackle by Kyle Arrington),-0.380,2.850
4,0:56,,,,31,13,Timeout #2 by Oakland Raiders,0.000,2.850
4,0:56,1,10,NWE 41,31,13,Jason Campbell pass complete short left to Michael Bush for 35 yards (tackle by Dane Fletcher),2.850,5.830
4,0:38,,,,31,13,Timeout #3 by Oakland Raiders,0.000,5.830
4,0:38,1,6,NWE 6,31,13,Jason Campbell pass incomplete short middle intended for Kevin Boss,5.830,4.950
4,0:34,2,6,NWE 6,31,19,"Jason Campbell pass complete short middle to Denarius Moore for 6 yards, touchdown",4.950,7.000
4,,,,,31,19,"Two Point Attempt: Jason Campbell pass incomplete intended for Chaz Schilens, conversion fails",1.000,-1.000
4,,,,OAK 35,31,19,"Sebastian Janikowski kicks onside 10 yards, recovered by James Ihedigbo",0.000,2.590
4,0:25,1,10,OAK 45,31,19,Tom Brady kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
