Quarter,Time,Tm,Detail,NWE,OAK
1.0,10:26,Raiders,Sebastian Janikowski 28 yard field goal,0,3
,6:07,Patriots,Wes Welker 15 yard pass from Tom Brady (Stephen Gostkowski kick),7,3
2.0,10:20,Raiders,Michael Bush 1 yard rush (Sebastian Janikowski kick),7,10
,7:44,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),14,10
,0:06,Patriots,Stephen Gostkowski 44 yard field goal,17,10
3.0,11:07,Patriots,Stevan Ridley 33 yard rush (Stephen Gostkowski kick),24,10
,3:21,Raiders,Sebastian Janikowski 26 yard field goal,24,13
4.0,13:38,Patriots,Deion Branch 4 yard pass from Tom Brady (Stephen Gostkowski kick),31,13
,0:28,Raiders,Denarius Moore 6 yard pass from Jason Campbell (pass failed),31,19
