Unnamed: 0,PIT,BAL
First Downs,21,22
Rush-Yds-TDs,20-110-2,31-121-1
Cmp-Att-Yd-TD-INT,24-34-220-0-2,28-41-274-1-0
Sacked-Yards,3-22,1-9
Net Pass Yards,198,265
Total Yards,308,386
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,3-25,12-121
Third Down Conv.,2-8,9-18
Fourth Down Conv.,0-2,0-0
Time of Possession,25:40,34:20
