Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Rex Burkhead,HOU,16,47,0,2,11,0.7,36,2.3,0,
Royce Freeman,HOU,6,25,0,2,11,1.8,14,2.3,0,
Jaylen Samuels,HOU,3,7,0,0,1,0.3,6,2.0,0,
Chris Conley,HOU,1,3,0,1,0,0.0,3,3.0,0,
Davis Mills,HOU,1,4,0,0,4,4.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Elijah Mitchell,SFO,21,119,0,5,47,2.2,72,3.4,1,21.0
Trey Lance,SFO,8,31,0,1,25,3.1,6,0.8,0,
Deebo Samuel,SFO,7,19,0,1,13,1.9,6,0.9,0,
George Kittle,SFO,1,6,0,0,3,3.0,3,3.0,0,
