Quarter,Time,Tm,Detail,KAN,TAM
1.0,12:14,Chiefs,Harrison Butker 19 yard field goal,3,0
,6:49,Chiefs,Tyreek Hill 75 yard pass from Patrick Mahomes (Harrison Butker kick),10,0
,1:32,Chiefs,Tyreek Hill 44 yard pass from Patrick Mahomes (Harrison Butker kick),17,0
2.0,4:29,Buccaneers,Ronald Jones II 37 yard pass from Tom Brady (Ryan Succop kick),17,7
,0:14,Chiefs,Harrison Butker 29 yard field goal,20,7
3.0,11:04,Buccaneers,Ryan Succop 26 yard field goal,20,10
,7:00,Chiefs,Tyreek Hill 20 yard pass from Patrick Mahomes (Harrison Butker kick),27,10
4.0,12:44,Buccaneers,Mike Evans 31 yard pass from Tom Brady (Ryan Succop kick),27,17
,4:10,Buccaneers,Mike Evans 7 yard pass from Tom Brady (Ryan Succop kick),27,24
