Quarter,Time,Tm,Detail,SEA,PIT
2.0,14:44,Steelers,James Conner 1 yard rush (Chris Boswell kick),0,7
,8:40,Seahawks,Will Dissly 14 yard pass from Russell Wilson (Jason Myers kick),7,7
,2:28,Steelers,Chris Boswell 41 yard field goal,7,10
3.0,9:49,Seahawks,Will Dissly 12 yard pass from Russell Wilson (Jason Myers kick),14,10
,6:21,Steelers,Chris Boswell 33 yard field goal,14,13
,2:56,Seahawks,Rashaad Penny 37 yard rush (Jason Myers kick),21,13
4.0,11:16,Steelers,Vance McDonald 8 yard pass from Mason Rudolph (pass failed),21,19
,7:15,Seahawks,D.K. Metcalf 28 yard pass from Russell Wilson (Jason Myers kick),28,19
,5:34,Steelers,Vance McDonald 3 yard pass from Mason Rudolph (Chris Boswell kick),28,26
