Unnamed: 0,SEA,PIT
First Downs,25,17
Rush-Yds-TDs,33-151-1,16-81-1
Cmp-Att-Yd-TD-INT,29-35-300-3-0,20-34-187-2-1
Sacked-Yards,4-26,1-7
Net Pass Yards,274,180
Total Yards,425,261
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,10-93,5-78
Third Down Conv.,5-13,3-11
Fourth Down Conv.,1-1,0-0
Time of Possession,35:46,24:14
