Quarter,Time,Tm,Detail,MIA,SDG
1.0,2:47,Dolphins,Lex Hilliard 1 yard rush (Dan Carpenter kick),7,0
,1:35,Chargers,Vincent Jackson 55 yard pass from Philip Rivers (Nick Novak kick),7,7
2.0,7:55,Chargers,Nick Novak 27 yard field goal,7,10
,1:48,Dolphins,Dan Carpenter 41 yard field goal,10,10
,0:07,Chargers,Nick Novak 48 yard field goal,10,13
3.0,9:24,Chargers,Mike Tolbert 1 yard rush (Nick Novak kick),10,20
,6:46,Dolphins,Dan Carpenter 37 yard field goal,13,20
,1:15,Chargers,Nick Novak 23 yard field goal,13,23
4.0,11:34,Dolphins,Dan Carpenter 51 yard field goal,16,23
,4:28,Chargers,Nick Novak 38 yard field goal,16,26
