Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Dan Carpenter kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,Ryan Mathews left tackle for 2 yards (tackle by Randy Starks and Kevin Burnett),0.280,0.000
1,14:20,2,8,SDG 22,0,0,"Penalty on Marcus McNeill: False Start, 5 yards (no play)",0.000,-0.790
1,13:56,2,13,SDG 17,0,0,Philip Rivers pass complete short right to Randy McMichael for -2 yards (tackle by Will Allen),-0.790,-1.860
1,13:18,3,15,SDG 15,0,0,Philip Rivers pass incomplete short right intended for Mike Tolbert,-1.860,-2.440
1,13:13,4,15,SDG 15,0,0,"Mike Scifres punts 47 yards, fair catch by Davone Bess",-2.440,-1.470
1,13:03,1,10,MIA 38,0,0,Chad Henne pass complete short left to Charles Clay for 3 yards (tackle by Steve Gregory),1.470,1.330
1,12:19,2,7,MIA 41,0,0,Chad Henne pass complete short right to Davone Bess for 6 yards (tackle by Eric Weddle),1.330,1.420
1,11:33,3,1,MIA 47,0,0,"Penalty on Antonio Garay: Neutral Zone Infraction, 5 yards (no play)",1.420,2.390
1,11:18,1,10,SDG 48,0,0,Reggie Bush up the middle for 3 yards (tackle by Donald Butler and Shaun Phillips),2.390,2.250
1,10:37,2,7,SDG 45,0,0,"Chad Henne pass incomplete deep right intended for Anthony Fasano is intercepted by Marcus Gilchrist at SDG-14 and returned for 1 yard (tackle by Anthony Fasano). Penalty on Anthony Fasano: Horse Collar Tackle, 15 yards",2.250,-0.940
1,10:29,1,10,SDG 30,0,0,Ryan Mathews right end for 2 yards (tackle by Sean Smith),0.940,0.660
1,9:47,2,8,SDG 32,0,0,Philip Rivers pass complete short left to Ryan Mathews for 7 yards (tackle by Sean Smith),0.660,0.890
1,9:17,3,1,SDG 39,0,0,Jacob Hester up the middle for no gain (tackle by Karlos Dansby),0.890,-0.780
1,8:33,4,1,SDG 39,0,0,"Mike Scifres punts 53 yards, fair catch by Davone Bess",-0.780,0.380
1,8:24,1,10,MIA 8,0,0,Reggie Bush right end for 4 yards (tackle by Steve Gregory),-0.380,-0.490
1,7:59,2,6,MIA 12,0,0,Reggie Bush left end for 16 yards (tackle by Eric Weddle and Antoine Cason),-0.490,0.810
1,7:19,1,10,MIA 28,0,0,Reggie Bush right end for 2 yards (tackle by Larry English and Na'il Diggs),0.810,0.530
1,6:39,2,8,MIA 30,0,0,Chad Henne pass complete short left to Brian Hartline for 18 yards (tackle by Marcus Gilchrist),0.530,2.130
1,6:03,1,10,MIA 48,0,0,Chad Henne up the middle for 1 yard (tackle by Shaun Phillips),2.130,1.720
1,5:48,2,9,MIA 49,0,0,Matt Moore pass complete deep middle to Charles Clay for 31 yards (tackle by Steve Gregory),1.720,4.240
1,5:02,1,10,SDG 20,0,0,Reggie Bush up the middle for 4 yards (tackle by Cam Thomas and Takeo Spikes),4.240,4.280
1,4:32,2,6,SDG 16,0,0,Matt Moore pass complete short right to Jeron Mastrud for 8 yards (tackle by Eric Weddle),4.280,5.370
1,3:50,1,8,SDG 8,0,0,Lex Hilliard up the middle for 4 yards (tackle by Marcus Gilchrist and Travis LaBoy),5.370,5.340
1,3:06,2,4,SDG 4,0,0,Lex Hilliard up the middle for 3 yards (tackle by Shaun Phillips),5.340,5.170
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
1,2:52,3,1,SDG 1,6,0,"Lex Hilliard up the middle for 1 yard, touchdown",5.170,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
1,,,,SDG 2,7,0,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 35,7,0,"Dan Carpenter kicks off 74 yards, touchback",0.000,0.280
1,2:47,1,10,SDG 20,7,0,Philip Rivers pass complete short right to Malcom Floyd for 15 yards (tackle by Nolan Carroll),0.280,1.270
1,2:27,1,10,SDG 35,7,0,Philip Rivers pass complete short middle to Ryan Mathews for 10 yards (tackle by Marvin Mitchell),1.270,1.930
1,1:47,1,10,SDG 45,7,6,"Philip Rivers pass complete deep right to Vincent Jackson for 55 yards, touchdown",1.930,7.000
1,,,,MIA 2,7,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,SDG 35,7,7,"Nick Novak kicks off 68 yards, returned by Edmond Gates for 13 yards (tackle by Mike Tolbert)",0.000,-0.380
1,1:29,1,10,MIA 10,7,7,Reggie Bush up the middle for 10 yards (tackle by Eric Weddle),-0.380,0.280
1,0:43,1,10,MIA 20,7,7,Reggie Bush up the middle for 7 yards (tackle by Takeo Spikes and Na'il Diggs),0.280,0.680
Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,MIA 27,7,7,Lex Hilliard up the middle for 4 yards (tackle by Travis LaBoy and Takeo Spikes),0.680,1.000
2,14:19,1,10,MIA 31,7,7,Matt Moore pass incomplete deep left intended for Brian Hartline,1.000,0.460
2,14:14,2,10,MIA 31,7,7,Reggie Bush left end for -1 yards (tackle by Donald Butler),0.460,-0.360
2,13:30,,,,7,7,Timeout #1 by Miami Dolphins,0.000,-0.360
2,13:30,3,11,MIA 30,7,7,Matt Moore pass complete short left to Reggie Bush for 9 yards (tackle by Eric Weddle and Na'il Diggs),-0.360,-0.780
2,12:50,4,2,MIA 39,7,7,"Brandon Fields punts 42 yards, returned by Patrick Crayton for 5 yards (tackle by Marvin Mitchell)",-0.780,-0.540
2,12:38,1,10,SDG 24,7,7,Philip Rivers pass complete short left to Vincent Jackson for 11 yards (tackle by Sean Smith),0.540,1.270
2,12:01,1,10,SDG 35,7,7,Philip Rivers pass complete deep left to Vincent Jackson for 42 yards,1.270,4.040
2,11:31,,,,7,7,Timeout #1 by San Diego Chargers,0.000,4.040
2,11:31,1,10,MIA 23,7,7,Ryan Mathews up the middle for 8 yards (tackle by Randy Starks),4.040,4.750
2,10:54,2,2,MIA 15,7,7,Philip Rivers pass incomplete short right intended for Vincent Jackson,4.750,4.050
2,10:48,3,2,MIA 15,7,7,Philip Rivers pass complete short left to Vincent Brown for 6 yards (tackle by Reshad Jones),4.050,5.140
2,10:05,1,9,MIA 9,7,7,"Mike Tolbert up the middle for 3 yards (tackle by Nolan Carroll and Karlos Dansby). Penalty on Jeromey Clary: Personal Foul, 15 yards",5.140,2.870
2,9:27,2,21,MIA 21,7,7,Philip Rivers pass complete short right to Mike Tolbert for 8 yards (tackle by Yeremiah Bell and Kevin Burnett),2.870,3.060
2,8:40,3,13,MIA 13,7,7,Philip Rivers pass complete short right to Ryan Mathews for 4 yards (tackle by Sean Smith),3.060,2.830
2,7:58,4,9,MIA 9,7,10,Nick Novak 27 yard field goal good,2.830,3.000
2,,,,SDG 35,7,10,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
2,7:55,1,10,MIA 20,7,10,Matt Moore pass complete short right to Brandon Marshall for 6 yards (tackle by Marcus Gilchrist),0.280,0.540
2,7:19,2,4,MIA 26,7,10,Matt Moore pass complete short left to Edmond Gates for 8 yards (tackle by Antoine Cason),0.540,1.200
2,6:53,1,10,MIA 34,7,10,Reggie Bush right tackle for -2 yards (tackle by Ogemdi Nwagbuo and Antonio Garay),1.200,0.390
2,6:10,2,12,MIA 32,7,10,Matt Moore pass complete short right to Steve Slaton for -2 yards (tackle by Travis LaBoy),0.390,-0.560
2,5:29,3,14,MIA 30,7,10,Matt Moore pass complete short left to Davone Bess for 12 yards (tackle by Shaun Phillips),-0.560,-0.590
2,4:52,4,2,MIA 42,7,10,"Brandon Fields punts 50 yards, returned by Patrick Crayton for 3 yards (tackle by Ikaika Alama-Francis)",-0.590,0.370
2,4:40,1,10,SDG 11,7,10,Ryan Mathews up the middle for 4 yards (tackle by Cameron Wake and Kendall Langford),-0.370,-0.430
2,3:58,2,6,SDG 15,7,10,Philip Rivers sacked by Marvin Mitchell for -4 yards,-0.430,-1.420
2,3:21,3,10,SDG 11,7,10,Philip Rivers pass incomplete deep middle intended for Malcom Floyd (defended by Jimmy Wilson),-1.420,-2.490
