Unnamed: 0,MIA,SDG
First Downs,16,21
Rush-Yds-TDs,22-72-1,28-116-1
Cmp-Att-Yd-TD-INT,20-30-194-0-2,21-31-307-1-0
Sacked-Yards,3-18,2-12
Net Pass Yards,176,295
Total Yards,248,411
Fumbles-Lost,0-0,2-0
Turnovers,2,0
Penalties-Yards,2-41,8-80
Third Down Conv.,3-10,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,26:42,33:18
