Quarter,Time,Tm,Detail,MIN,SFO
1.0,3:51,Vikings,Ryan Longwell 21 yard field goal,3,0
2.0,13:22,49ers,Joe Nedney 25 yard field goal,3,3
,8:18,49ers,Joe Nedney 30 yard field goal,3,6
4.0,7:15,49ers,Joe Nedney 51 yard field goal,3,9
