Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",,
1,15:00,1,10,TEN 25,0,0,Ryan Tannehill pass deep right intended for Julio Jones is intercepted by Jessie Bates at TEN-42 and returned for no gain (tackle by Julio Jones),,
1,14:53,1,10,TEN 42,0,0,Joe Burrow sacked by and Naquan Jones for -3 yards and Denico Autry for -3 yards,,
1,14:08,2,13,TEN 45,0,0,Joe Burrow pass complete short left to Joe Mixon for 21 yards (tackle by Amani Hooker),,
1,13:36,1,10,TEN 24,0,0,Joe Mixon left guard for 1 yard (tackle by Harold Landry and Naquan Jones),,
1,12:55,2,9,TEN 23,0,0,Joe Burrow pass incomplete short left intended for Joe Mixon,,
1,12:52,3,9,TEN 23,0,0,"Penalty on Joe Burrow: Delay of Game, 5 yards (accepted) (no play)",,
1,12:52,3,14,TEN 28,0,0,Joe Burrow pass complete short right to Tee Higgins for 8 yards (tackle by Dane Cruikshank),,
1,12:06,4,6,TEN 20,3,0,Evan McPherson 38 yard field goal good,,
1,12:03,,,CIN 35,3,0,"Evan McPherson kicks off 65 yards, touchback.",,
1,12:03,1,10,TEN 25,3,0,Derrick Henry left tackle for 2 yards (tackle by Vonn Bell and Mike Hilton),,
1,11:25,2,8,TEN 27,3,0,Derrick Henry left tackle for -1 yards (tackle by D.J. Reader),,
1,10:42,3,9,TEN 26,3,0,Ryan Tannehill sacked by Vonn Bell for -7 yards,,
1,10:10,4,16,TEN 19,3,0,Brett Kern punts 50 yards downed by Dane Cruikshank,,
1,10:00,1,10,CIN 31,3,0,Joe Burrow pass incomplete short left intended for C.J. Uzomah,,
1,9:57,2,10,CIN 31,3,0,Joe Burrow sacked by Harold Landry for -8 yards,,
1,9:17,3,18,CIN 23,3,0,Joe Burrow pass complete short left to Samaje Perine for 4 yards (tackle by Jeffery Simmons),,
1,8:39,4,14,CIN 27,3,0,"Kevin Huber punts 48 yards, fair catch by Chester Rogers at TEN-25. Penalty on Tre Flowers: Kick Catch Interference, 15 yards (accepted)",,
1,8:29,1,10,TEN 40,3,0,Ryan Tannehill pass complete short right to Julio Jones for 11 yards (tackle by Vonn Bell),,
1,7:57,1,10,CIN 49,3,0,Derrick Henry left guard for 8 yards (tackle by Germaine Pratt),,
1,7:30,2,2,CIN 41,3,0,Derrick Henry right guard for 3 yards (tackle by Vonn Bell and Chidobe Awuzie),,
1,6:52,1,10,CIN 38,3,0,Derrick Henry right tackle for -1 yards (tackle by D.J. Reader and Sam Hubbard),,
1,6:11,2,11,CIN 39,3,0,Ryan Tannehill pass incomplete short right intended for Khari Blasingame,,
1,6:04,3,11,CIN 39,3,0,Ryan Tannehill pass incomplete short left intended for A.J. Brown,,
1,6:00,4,11,CIN 39,3,0,"Penalty on TEN: Delay of Game, 5 yards (declined) (no play)",,
