Unnamed: 0,CIN,TEN
First Downs,17,16
Rush-Yds-TDs,18-65-1,27-140-1
Cmp-Att-Yd-TD-INT,28-37-348-0-1,15-24-220-1-3
Sacked-Yards,9-68,1-7
Net Pass Yards,280,213
Total Yards,345,353
Fumbles-Lost,0-0,0-0
Turnovers,1,3
Penalties-Yards,6-46,2-15
Third Down Conv.,7-15,1-8
Fourth Down Conv.,0-0,0-1
Time of Possession,33:25,26:35
