Quarter,Time,Tm,Detail,CIN,TEN
1.0,12:03,Bengals,Evan McPherson 38 yard field goal,3,0
,2:11,Bengals,Evan McPherson 45 yard field goal,6,0
2.0,6:07,Titans,Derrick Henry 3 yard rush (run failed),6,6
,1:35,Bengals,Evan McPherson 54 yard field goal,9,6
3.0,9:34,Bengals,Joe Mixon 16 yard rush (Evan McPherson kick),16,6
,1:36,Titans,Randy Bullock 34 yard field goal,16,9
,0:15,Titans,A.J. Brown 33 yard pass from Ryan Tannehill (Randy Bullock kick),16,16
4.0,0:00,Bengals,Evan McPherson 52 yard field goal,19,16
