Quarter,Time,Tm,Detail,TEN,PHI
1.0,14:47,Eagles,Josh Huff 107 yard kickoff return (Cody Parkey kick),0,7
,10:44,Eagles,Darren Sproles 4 yard rush (Cody Parkey kick),0,14
,3:25,Eagles,Cody Parkey 36 yard field goal,0,17
2.0,14:51,Titans,Justin Hunter 40 yard pass from Zach Mettenberger (Ryan Succop kick),7,17
,11:29,Eagles,Cody Parkey 26 yard field goal,7,20
,8:22,Titans,Shonn Greene 2 yard rush (Ryan Succop kick),14,20
,4:35,Eagles,LeSean McCoy 2 yard rush (Cody Parkey kick),14,27
,0:51,Titans,Ryan Succop 20 yard field goal,17,27
3.0,11:27,Eagles,James Casey 14 yard pass from Mark Sanchez (Cody Parkey kick),17,34
4.0,14:14,Eagles,Cody Parkey 35 yard field goal,17,37
,10:18,Eagles,Cody Parkey 30 yard field goal,17,40
,5:43,Titans,Dexter McCluster 6 yard pass from Zach Mettenberger (Ryan Succop kick),24,40
,2:26,Eagles,Cody Parkey 50 yard field goal,24,43
