Unnamed: 0,TEN,PHI
First Downs,16,26
Rush-Yds-TDs,19-52-1,38-164-2
Cmp-Att-Yd-TD-INT,20-39-345-2-1,30-43-307-1-2
Sacked-Yards,5-46,2-9
Net Pass Yards,299,298
Total Yards,351,462
Fumbles-Lost,3-2,0-0
Turnovers,3,2
Penalties-Yards,7-56,9-69
Third Down Conv.,2-12,10-19
Fourth Down Conv.,1-2,0-0
Time of Possession,26:48,33:12
