Quarter,Time,Tm,Detail,CHI,GNB
2,4:31,Bears,Robbie Gould 30 yard field goal,3,0
3,2:39,Packers,Mason Crosby 23 yard field goal,3,3
4,12:42,Packers,Donald Lee 1 yard pass from Aaron Rodgers (Mason Crosby kick),3,10
