Quarter,Time,Tm,Detail,CIN,KAN
1.0,4:43,Chiefs,Lawrence Tynes 39 yard field goal,0,3
,1:12,Bengals,Shayne Graham 49 yard field goal,3,3
2.0,10:27,Chiefs,Lawrence Tynes 24 yard field goal,3,6
,1:54,Chiefs,Larry Johnson 49 yard rush (Lawrence Tynes kick),3,13
,1:14,Chiefs,Larry Johnson 14 yard rush (Lawrence Tynes kick),3,20
3.0,12:41,Chiefs,Larry Johnson 20 yard rush (Lawrence Tynes kick),3,27
,4:11,Chiefs,Lawrence Tynes 23 yard field goal,3,30
4.0,2:47,Chiefs,Dee Brown 8 yard pass from Trent Green (Lawrence Tynes kick),3,37
