Unnamed: 0,CIN,KAN
First Downs,10,24
Rush-Yds-TDs,22-37-0,32-202-3
Cmp-Att-Yd-TD-INT,18-32-130-0-2,23-29-344-1-0
Sacked-Yards,1-6,2-9
Net Pass Yards,124,335
Total Yards,161,537
Fumbles-Lost,0-0,2-1
Turnovers,2,1
Penalties-Yards,6-50,9-80
Third Down Conv.,6-16,5-11
Fourth Down Conv.,1-2,0-0
Time of Possession,27:18,32:42
