Unnamed: 0,JAX,TEN
First Downs,19,17
Rush-Yds-TDs,44-166-3,19-62-0
Cmp-Att-Yd-TD-INT,13-23-101-1-0,24-41-257-1-2
Sacked-Yards,1-5,4-27
Net Pass Yards,96,230
Total Yards,262,292
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,4-35,9-56
Third Down Conv.,6-16,4-15
Fourth Down Conv.,3-5,1-3
Time of Possession,34:23,25:37
