Unnamed: 0,BAL,SDG
First Downs,19,18
Rush-Yds-TDs,20-56-1,30-83-0
Cmp-Att-Yd-TD-INT,21-33-191-1-0,25-35-249-3-0
Sacked-Yards,4-37,0-0
Net Pass Yards,154,249
Total Yards,210,332
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,3-30,6-60
Third Down Conv.,5-12,7-15
Fourth Down Conv.,0-1,1-1
Time of Possession,28:05,31:55
