Quarter,Time,Tm,Detail,NWE,DEN
1,6:44,Patriots,Wes Welker 8 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,3:51,Patriots,Stephen Gostkowski 53 yard field goal,10,0
2,4:31,Broncos,Brandon Marshall 11 yard pass from Kyle Orton (Matt Prater kick),10,7
,0:05,Patriots,Ben Watson 7 yard pass from Tom Brady (Stephen Gostkowski kick),17,7
3,7:22,Broncos,Matt Prater 24 yard field goal,17,10
4,5:21,Broncos,Brandon Marshall 11 yard pass from Kyle Orton (Matt Prater kick),17,17
OT,10:09,Broncos,Matt Prater 41 yard field goal,17,20
