Unnamed: 0,NWE,DEN
First Downs,18,27
Rush-Yds-TDs,27-96-0,25-103-0
Cmp-Att-Yd-TD-INT,19-33-215-2-0,35-48-330-2-1
Sacked-Yards,1-6,2-9
Net Pass Yards,209,321
Total Yards,305,424
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,4-46,3-20
Third Down Conv.,5-14,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:22,36:29
