Unnamed: 0,IND,JAX
First Downs,26,14
Rush-Yds-TDs,30-157-1,18-40-0
Cmp-Att-Yd-TD-INT,23-38-294-2-1,17-32-179-0-3
Sacked-Yards,2-14,4-14
Net Pass Yards,280,165
Total Yards,437,205
Fumbles-Lost,1-0,0-0
Turnovers,1,3
Penalties-Yards,7-58,9-65
Third Down Conv.,6-13,2-11
Fourth Down Conv.,0-0,0-1
Time of Possession,36:38,23:22
