Quarter,Time,Tm,Detail,IND,JAX
1.0,8:14,Jaguars,Josh Scobee 53 yard field goal,0,3
2.0,14:43,Colts,Adam Vinatieri 22 yard field goal,3,3
,11:48,Colts,Darius Butler 41 yard interception return (Adam Vinatieri kick),10,3
,5:54,Colts,Trent Richardson 1 yard rush (Adam Vinatieri kick),17,3
,1:34,Colts,Adam Vinatieri 46 yard field goal,20,3
3.0,12:15,Colts,Coby Fleener 31 yard pass from Andrew Luck (Adam Vinatieri kick),27,3
,1:22,Colts,Reggie Wayne 5 yard pass from Andrew Luck (Adam Vinatieri kick),34,3
4.0,1:53,Colts,Adam Vinatieri 28 yard field goal,37,3
