Quarter,Time,Down,ToGo,Location,PIT,DET,Detail,EPB,EPA
1,8:33,3,11,PIT 27,3,0,"Penalty on Travis Swanson: False Start, 5 yards (no play)",2.480,1.820
1,8:33,3,16,PIT 32,3,0,Dwayne Washington middle for 2 yards (tackle by Tyson Alualu and Mike Hilton),1.820,1.410
1,7:55,4,14,PIT 30,3,3,Matt Prater 48 yard field goal good,1.410,3.000
1,7:50,,,DET 35,3,3,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
1,7:50,1,10,PIT 25,3,3,Ben Roethlisberger pass complete deep middle to JuJu Smith-Schuster for 18 yards (tackle by Nevin Lawson),0.610,1.800
1,7:09,1,10,PIT 43,3,3,Le'Veon Bell right end for 3 yards (tackle by Jalen Reeves-Maybin),1.800,1.660
1,6:31,2,7,PIT 46,3,3,Ben Roethlisberger pass complete short left to Jesse James for 10 yards (tackle by Nevin Lawson),1.660,2.650
1,5:50,1,10,DET 44,3,3,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown is intercepted by Glover Quin at DET-17,2.650,0.060
1,5:45,1,10,DET 17,3,3,Ameer Abdullah middle for 2 yards (tackle by Vince Williams and Bud Dupree),-0.060,-0.250
1,5:13,2,8,DET 19,3,3,Ameer Abdullah left tackle for 2 yards (tackle by T.J. Watt),-0.250,-0.750
1,4:36,3,6,DET 21,3,3,Matthew Stafford sacked by Cameron Heyward for -11 yards,-0.750,-2.490
1,4:00,4,17,DET 10,3,3,"Sam Martin punts 45 yards, fair catch by Antonio Brown",-2.490,-1.930
1,3:52,1,10,PIT 45,3,3,Le'Veon Bell left end for 4 yards (tackle by Jeremiah Valoaga),1.930,1.920
1,3:15,2,6,PIT 49,3,3,Le'Veon Bell left tackle for no gain (tackle by Jalen Reeves-Maybin and A'Shawn Robinson),1.920,1.220
1,2:32,3,6,PIT 49,3,3,Ben Roethlisberger pass incomplete deep right intended for JuJu Smith-Schuster,1.220,-0.130
1,2:25,4,6,PIT 49,3,3,"Jordan Berry punts 41 yards, fair catch by Jamal Agnew",-0.130,0.380
1,2:17,1,10,DET 10,3,3,Ameer Abdullah left end for 8 yards (tackle by Artie Burns and T.J. Watt),-0.380,0.070
1,1:42,2,2,DET 18,3,3,Ameer Abdullah right end for 7 yards (tackle by Bud Dupree),0.070,0.610
1,1:05,1,10,DET 25,3,3,Matthew Stafford pass incomplete deep left intended for Michael Roberts,0.610,0.060
1,0:59,2,10,DET 25,3,3,Matthew Stafford pass complete short right to Dwayne Washington for 4 yards (tackle by Tyson Alualu),0.060,-0.100
1,0:14,3,6,DET 29,3,3,Matthew Stafford pass incomplete deep middle intended for Eric Ebron,-0.100,-1.440
1,0:09,4,6,DET 29,3,3,Sam Martin punts 55 yards,-1.440,0.140
Quarter,Time,Down,ToGo,Location,PIT,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 16,3,3,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 2 yards (tackle by Jalen Reeves-Maybin),-0.140,-0.350
2,14:17,2,8,PIT 18,3,3,Le'Veon Bell left tackle for -1 yards (tackle by Jalen Reeves-Maybin),-0.350,-1.200
2,13:35,3,9,PIT 17,3,3,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 2 yards (tackle by Tavon Wilson),-1.200,-2.140
2,12:55,4,7,PIT 19,3,3,"Jordan Berry punts 50 yards, returned by Jamal Agnew for 11 yards (tackle by Tyler Matakevich)",-2.140,-1.730
2,12:44,1,10,DET 42,3,3,Matthew Stafford pass complete short left to Golden Tate for 7 yards (tackle by Cameron Heyward),1.730,2.130
2,12:08,2,3,DET 49,3,3,Matthew Stafford pass complete short right to Ameer Abdullah for 8 yards (tackle by Javon Hargrave),2.130,2.720
2,11:23,1,10,PIT 43,3,3,Matthew Stafford pass incomplete short right intended for Michael Roberts (defended by Leterrius Walton),2.720,2.180
2,11:17,2,10,PIT 43,3,3,Matthew Stafford pass complete deep right to Marvin Jones for 33 yards (tackle by Mike Mitchell),2.180,4.910
2,10:35,1,10,PIT 10,3,3,"Ameer Abdullah right tackle for 2 yards (tackle by Vince Williams). Penalty on Travis Swanson: Offensive Holding, 10 yards (no play)",4.910,4.240
2,10:17,1,20,PIT 20,3,3,Matthew Stafford pass complete short right to Theo Riddick for 1 yard (tackle by Vince Williams),4.240,3.070
2,9:27,2,19,PIT 19,3,3,Matthew Stafford pass incomplete deep right intended for Marvin Jones,3.070,2.490
2,9:22,3,19,PIT 19,3,3,Matthew Stafford pass incomplete deep left intended for T.J. Jones,2.490,2.180
2,9:15,4,19,PIT 19,3,6,Matt Prater 37 yard field goal good,2.180,3.000
2,9:11,,,DET 35,3,6,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
2,9:11,1,10,PIT 25,3,6,Ben Roethlisberger pass complete short middle to Antonio Brown for 9 yards (tackle by Darius Slay),0.610,1.280
2,8:33,2,1,PIT 34,3,6,Le'Veon Bell middle for 8 yards (tackle by Nevin Lawson),1.280,1.730
2,7:54,1,10,PIT 42,3,6,James Conner left tackle for 1 yard (tackle by Tahir Whitehead),1.730,1.320
2,7:14,2,9,PIT 43,3,6,Le'Veon Bell middle for 4 yards (tackle by Jeremiah Ledbetter),1.320,1.160
2,6:32,3,5,PIT 47,3,6,Ben Roethlisberger pass complete short right to Justin Hunter for 7 yards (tackle by Nevin Lawson),1.160,2.520
2,5:53,1,10,DET 46,3,6,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,2.520,1.980
2,5:46,2,10,DET 46,3,6,Le'Veon Bell left end for 1 yard (tackle by Darius Slay),1.980,1.420
2,5:02,3,9,DET 45,3,6,Ben Roethlisberger pass complete deep middle to Antonio Brown for 40 yards (tackle by Miles Killebrew),1.420,6.060
2,4:14,1,5,DET 5,9,6,"Le'Veon Bell middle for 5 yards, touchdown",6.060,7.000
2,4:10,,,DET 15,10,6,Chris Boswell kicks extra point good,0.000,0.000
2,4:10,,,PIT 35,10,6,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
2,4:10,1,10,DET 25,10,6,Matthew Stafford pass complete deep left to T.J. Jones for 25 yards (tackle by Mike Mitchell),0.610,2.260
2,3:39,1,10,,10,6,Matthew Stafford pass complete short middle to Jamal Agnew for 12 yards (tackle by Mike Mitchell and Vince Williams),2.260,3.050
2,3:01,1,10,PIT 38,10,6,Ameer Abdullah middle for 5 yards (tackle by Artie Burns),3.050,3.180
2,2:26,2,5,PIT 33,10,6,Matthew Stafford pass incomplete short left intended for T.J. Jones,3.180,2.480
2,2:23,3,5,PIT 33,10,6,Matthew Stafford pass incomplete short middle intended for Golden Tate,2.480,1.170
2,2:19,4,5,PIT 33,10,9,Matt Prater 51 yard field goal good,1.170,3.000
2,2:14,,,DET 35,10,9,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
2,2:14,1,10,PIT 25,10,9,Le'Veon Bell middle for -2 yards (tackle by Quandre Diggs),0.610,-0.210
2,2:00,2,12,PIT 23,10,9,Ben Roethlisberger pass incomplete deep right intended for Justin Hunter (defended by Darius Slay),-0.210,-0.890
2,1:52,3,12,PIT 23,10,9,Ben Roethlisberger pass complete short middle to Antonio Brown for 13 yards (tackle by Tavon Wilson and Quandre Diggs),-0.890,0.000
2,1:43,,,,,,Timeout #1 by Pittsburgh Steelers,0.000,-1.330
2,1:43,1,10,PIT 36,10,9,Ben Roethlisberger pass complete short middle to Jesse James for 32 yards (tackle by Miles Killebrew),1.330,3.450
2,1:34,1,10,DET 32,10,9,Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards (tackle by Tavon Wilson),3.450,4.120
2,1:08,2,1,DET 23,10,9,Ben Roethlisberger pass incomplete deep right intended for Justin Hunter,4.120,3.400
2,1:03,3,1,DET 23,10,9,"Le'Veon Bell middle for 1 yard (tackle by Anthony Zettel). Le'Veon Bell fumbles (forced by Anthony Zettel), recovered by Glover Quin at DET-21 (tackle by David DeCastro)",3.400,-0.340
2,0:56,1,10,DET 21,10,9,Matthew Stafford pass complete deep middle to Marvin Jones for 18 yards (tackle by Mike Mitchell),0.340,0.000
2,0:50,,,,,,Timeout #1 by Detroit Lions,0.000,-1.530
2,0:50,1,10,DET 39,10,9,Matthew Stafford pass complete deep right to T.J. Jones for 34 yards (tackle by Mike Mitchell),1.530,3.780
2,0:44,1,10,PIT 27,10,9,Matthew Stafford pass incomplete short right intended for Marvin Jones,3.780,3.230
2,0:38,2,10,PIT 27,10,9,Matthew Stafford pass complete short left to Golden Tate for 11 yards (tackle by Artie Burns),3.230,0.000
2,0:31,,,,,,Timeout #2 by Detroit Lions,0.000,-4.510
2,0:31,1,10,PIT 16,10,9,Matthew Stafford pass incomplete deep middle intended for Darren Fells (defended by Sean Davis),4.510,3.900
2,0:26,2,10,PIT 16,10,9,Matthew Stafford pass incomplete short middle intended for Darren Fells,3.900,3.080
2,0:22,3,10,PIT 16,10,9,Matthew Stafford pass incomplete deep right intended for Marvin Jones (defended by Joe Haden),3.080,2.380
2,0:17,4,10,PIT 16,10,12,Matt Prater 34 yard field goal good,2.380,3.000
2,0:13,,,DET 35,10,12,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
2,0:13,1,10,PIT 25,10,12,Ben Roethlisberger kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,PIT,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,10,12,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,DET 25,10,12,Ameer Abdullah left end for -1 yards (tackle by Artie Burns),0.610,-0.070
3,14:22,2,11,DET 24,10,12,Ameer Abdullah middle for 5 yards (tackle by Ryan Shazier),-0.070,-0.100
3,13:41,3,6,DET 29,10,12,Matthew Stafford pass incomplete deep right intended for T.J. Jones (defended by Tyson Alualu),-0.100,-1.440
3,13:35,4,6,DET 29,10,12,"Sam Martin punts 19 yards, out of bounds",-1.440,-2.390
3,13:29,1,10,DET 48,10,12,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,2.390,1.850
3,13:23,2,10,DET 48,10,12,Le'Veon Bell middle for 6 yards (tackle by Tavon Wilson),1.850,1.950
3,12:40,3,4,DET 42,10,12,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 18 yards (tackle by Glover Quin and Tavon Wilson),1.950,3.970
3,11:53,1,10,DET 24,10,12,Ben Roethlisberger pass incomplete deep right intended for Darrius Heyward-Bey,3.970,3.430
3,11:47,2,10,DET 24,10,12,Le'Veon Bell right tackle for 2 yards (tackle by Tavon Wilson and Tahir Whitehead),3.430,3.010
3,11:03,3,8,DET 22,10,12,"Ben Roethlisberger pass incomplete short middle intended for Jesse James (defended by Quandre Diggs). Penalty on Quandre Diggs: Unnecessary Roughness, 11 yards (no play)",3.010,4.840
3,10:53,1,10,DET 11,10,12,Le'Veon Bell left tackle for 2 yards (tackle by Jarrad Davis and Quandre Diggs),4.840,4.510
3,10:09,2,8,DET 9,10,12,"Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards. Penalty on Antonio Brown: Offensive Pass Interference, 10 yards (no play)",4.510,3.150
3,10:05,2,18,DET 19,10,12,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,3.150,2.550
3,10:00,3,18,DET 19,10,12,Ben Roethlisberger pass complete short middle to Antonio Brown for -1 yards (tackle by Quandre Diggs),2.550,2.120
3,9:25,4,19,DET 20,13,12,Chris Boswell 38 yard field goal good,2.120,3.000
3,9:21,,,PIT 35,13,12,"Chris Boswell kicks off 68 yards, returned by Jamal Agnew for 20 yards (tackle by Roosevelt Nix)",0.000,0.060
3,9:15,1,10,DET 17,13,12,"Matthew Stafford pass complete short middle to Marvin Jones for 18 yards (tackle by Robert Golden and Vince Williams). Penalty on Sean Davis: Unnecessary Roughness, 15 yards",-0.060,2.260
3,9:05,1,10,,13,12,Ameer Abdullah left tackle for 1 yard (tackle by Vince Williams),2.260,1.850
3,8:28,2,9,PIT 49,13,12,Ameer Abdullah left tackle for -1 yards (tackle by Cameron Heyward),1.850,1.030
3,7:48,3,10,,13,12,Matthew Stafford for 11 yards (tackle by Artie Burns),1.030,2.980
3,7:13,1,10,PIT 39,13,12,Matthew Stafford pass complete short left to Darren Fells for 12 yards (tackle by Leterrius Walton),2.980,3.780
3,6:25,1,10,PIT 27,13,12,Matthew Stafford pass complete deep right to T.J. Jones for 23 yards (tackle by Sean Davis),3.780,6.280
3,5:52,1,4,PIT 4,13,12,Dwayne Washington right tackle for 3 yards (tackle by Ryan Shazier),6.280,5.910
3,5:10,2,1,PIT 1,13,12,Matthew Stafford pass incomplete short right intended for Marvin Jones (defended by Robert Golden),5.910,5.170
3,5:02,3,1,PIT 1,13,12,Dwayne Washington right tackle for no gain (tackle by Javon Hargrave),5.170,3.550
3,4:31,4,1,PIT 1,13,12,Matthew Stafford sacked by Tyson Alualu for -1 yards,3.550,0.380
3,4:25,1,10,PIT 2,13,12,Le'Veon Bell middle for 3 yards (tackle by Khyri Thornton),-0.380,-0.560
3,3:45,2,7,PIT 5,13,12,"Le'Veon Bell middle for 6 yards (tackle by Jeremiah Ledbetter). Penalty on Roosevelt Nix: Offensive Holding, 2 yards (no play)",-0.560,-0.710
3,3:20,2,9,PIT 3,13,12,Ben Roethlisberger pass incomplete short middle intended for Jesse James,-0.710,-1.300
3,3:15,3,9,PIT 3,19,12,"Ben Roethlisberger pass complete deep middle to JuJu Smith-Schuster for 97 yards, touchdown",-1.300,7.000
3,3:01,,,DET 15,20,12,Chris Boswell kicks extra point good,0.000,0.000
3,3:01,,,PIT 35,20,12,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,3:01,1,10,DET 25,20,12,Matthew Stafford pass complete short right to Golden Tate for 8 yards (tackle by Joe Haden),0.610,1.140
3,2:33,2,2,DET 33,20,12,Theo Riddick left tackle for 10 yards (tackle by Sean Davis),1.140,1.800
3,1:50,1,10,DET 43,20,12,Theo Riddick right end for 7 yards (tackle by Sean Davis and Vince Williams),1.800,2.200
3,1:12,2,3,,20,12,Matthew Stafford pass complete short middle to Theo Riddick for 23 yards (tackle by Ryan Shazier),2.200,3.780
3,0:30,1,10,PIT 27,20,12,Theo Riddick left tackle for 6 yards (tackle by Ryan Shazier),3.780,4.040
Quarter,Time,Down,ToGo,Location,PIT,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,PIT 21,20,12,Matthew Stafford pass complete short middle to Golden Tate for 17 yards (tackle by Ryan Shazier),4.040,6.280
4,14:35,1,4,PIT 4,20,12,Matthew Stafford pass incomplete short right intended for Eric Ebron,6.280,5.340
4,14:16,2,4,PIT 4,20,12,Dwayne Washington right tackle for 2 yards (tackle by Bud Dupree),5.340,4.950
4,13:41,3,2,PIT 2,20,12,Dwayne Washington right tackle for 1 yard (tackle by Sean Davis),4.950,3.550
4,12:59,4,1,PIT 1,20,15,Matt Prater 19 yard field goal good,3.550,3.000
4,12:54,,,DET 35,20,15,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
4,12:54,1,10,PIT 25,20,15,Le'Veon Bell left tackle for 3 yards (tackle by A'Shawn Robinson),0.610,0.470
4,12:10,2,7,PIT 28,20,15,Ben Roethlisberger pass incomplete short left intended for Antonio Brown (defended by A'Shawn Robinson),0.470,-0.230
4,12:07,3,7,PIT 28,20,15,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,-0.230,-1.500
4,12:01,4,7,PIT 28,20,15,"Jordan Berry punts 53 yards, returned by Jamal Agnew for 10 yards (tackle by Tyler Matakevich)",-1.500,-0.870
4,11:49,1,10,DET 29,20,15,Matthew Stafford pass complete short left to Marvin Jones for 9 yards (tackle by Artie Burns),0.870,1.540
4,11:12,2,1,DET 38,20,15,Ameer Abdullah right tackle for 3 yards (tackle by Ryan Shazier),1.540,1.660
4,10:27,1,10,DET 41,20,15,Matthew Stafford pass complete short right to Ameer Abdullah for -1 yards (tackle by Sean Davis),1.660,0.990
4,9:43,2,11,DET 40,20,15,"Matthew Stafford pass complete deep left to Golden Tate for 34 yards. Golden Tate fumbles, recovered by Artie Burns at PIT-24 (tackle by Golden Tate)",0.990,-0.540
4,9:31,1,10,PIT 24,20,15,Le'Veon Bell middle for 8 yards (tackle by Glover Quin and Tahir Whitehead),0.540,1.080
4,8:52,2,2,PIT 32,20,15,Le'Veon Bell right end for -2 yards (tackle by Ezekiel Ansah),1.080,0.100
4,8:07,3,4,PIT 30,20,15,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 13 yards (tackle by Quandre Diggs),0.100,1.800
4,7:26,1,10,PIT 43,20,15,Le'Veon Bell left tackle for 2 yards (tackle by Akeem Spence),1.800,1.520
4,6:44,2,8,PIT 45,20,15,"Penalty on Alejandro Villanueva: False Start, 5 yards (no play)",1.520,0.850
4,6:20,2,13,PIT 40,20,15,Le'Veon Bell left tackle for -2 yards (tackle by Anthony Zettel),0.850,-0.100
4,5:51,3,15,PIT 38,20,15,Ben Roethlisberger pass complete short left to Le'Veon Bell for 3 yards (tackle by Tavon Wilson),-0.100,-0.650
4,5:03,4,12,PIT 41,20,15,"Jordan Berry punts 44 yards, fair catch by Jamal Agnew",-0.650,0.220
4,4:55,1,10,DET 15,20,15,Matthew Stafford pass incomplete short middle intended for T.J. Jones (defended by T.J. Watt),-0.220,-0.710
4,4:50,2,10,DET 15,20,15,Matthew Stafford pass complete short right to Marvin Jones for 7 yards (tackle by Artie Burns),-0.710,-0.510
4,4:10,3,3,DET 22,20,15,Matthew Stafford pass complete short left to Eric Ebron for 14 yards (tackle by Robert Golden),-0.510,1.330
4,3:45,1,10,DET 36,20,15,"Matthew Stafford pass incomplete deep right intended for Marvin Jones is intercepted by Joe Haden at PIT-25. Penalty on Bud Dupree: Defensive Offside, 5 yards, Penalty on Bud Dupree: Defensive 12 On-field (Declined) (no play)",1.330,2.060
4,3:41,1,5,DET 41,20,15,Matthew Stafford pass complete short right to Ameer Abdullah for 4 yards (tackle by Vince Williams),2.060,2.010
4,3:06,2,1,DET 45,20,15,Matthew Stafford pass complete short left to Eric Ebron for 44 yards (tackle by Artie Burns),2.010,4.840
4,2:55,1,10,PIT 11,20,15,Matthew Stafford pass incomplete short left intended for Marvin Jones (defended by Artie Burns),4.840,4.140
4,2:51,2,10,PIT 11,20,15,Matthew Stafford pass complete short right to Golden Tate for 5 yards (tackle by Mike Hilton),4.140,4.210
4,2:06,3,5,PIT 6,20,15,Theo Riddick right tackle for -2 yards (tackle by Mike Hilton),4.210,2.960
4,2:00,4,7,PIT 8,20,15,Matthew Stafford pass incomplete short middle intended for Eric Ebron (defended by Ryan Shazier),2.960,0.380
4,1:54,1,10,PIT 8,20,15,Le'Veon Bell middle for 4 yards (tackle by Tavon Wilson and A'Shawn Robinson),-0.380,0.000
4,1:50,,,,,,Timeout #1 by Detroit Lions,0.000,0.490
4,1:50,2,6,PIT 12,20,15,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,-0.490,-0.950
4,1:45,3,6,PIT 12,20,15,"Ben Roethlisberger pass incomplete short right intended for Eli Rogers. Penalty on Darius Slay: Defensive Pass Interference, 11 yards (no play)",-0.950,0.480
4,1:40,1,10,PIT 23,20,15,Le'Veon Bell left tackle for 6 yards (tackle by Jalen Reeves-Maybin),0.480,0.000
4,1:34,,,,,,Timeout #2 by Detroit Lions,0.000,-0.740
4,1:34,2,4,PIT 29,20,15,Le'Veon Bell middle for 3 yards (tackle by A'Shawn Robinson),0.740,0.000
4,1:29,,,,,,Timeout #3 by Detroit Lions,0.000,-0.430
4,1:29,3,1,PIT 32,20,15,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 4 yards (tackle by Jarrad Davis),0.430,1.330
4,0:48,1,10,PIT 36,20,15,"Ben Roethlisberger kneels for no gain. Penalty on A'Shawn Robinson: Disqualification, 15 yards",1.330,2.320
4,0:42,1,10,DET 49,20,15,Ben Roethlisberger kneels for -1 yards,2.320,1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
