Unnamed: 0,PIT,DET
First Downs,17,21
Rush-Yds-TDs,29-75-1,22-71-0
Cmp-Att-Yd-TD-INT,17-31-317-1-1,27-45-423-0-0
Sacked-Yards,0-0,2-12
Net Pass Yards,317,411
Total Yards,392,482
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,5-37,6-57
Third Down Conv.,7-14,2-12
Fourth Down Conv.,0-0,0-2
Time of Possession,28:23,31:37
