Quarter,Time,Tm,Detail,PIT,DET
1.0,12:12,Steelers,Chris Boswell 34 yard field goal,3,0
,7:50,Lions,Matt Prater 48 yard field goal,3,3
2.0,9:11,Lions,Matt Prater 37 yard field goal,3,6
,4:10,Steelers,Le'Veon Bell 5 yard rush (Chris Boswell kick),10,6
,2:14,Lions,Matt Prater 51 yard field goal,10,9
,0:13,Lions,Matt Prater 34 yard field goal,10,12
3.0,9:21,Steelers,Chris Boswell 38 yard field goal,13,12
,3:01,Steelers,JuJu Smith-Schuster 97 yard pass from Ben Roethlisberger (Chris Boswell kick),20,12
4.0,12:54,Lions,Matt Prater 19 yard field goal,20,15
