Quarter,Time,Tm,Detail,CHI,MIN
1.0,4:59,Vikings,Blair Walsh 37 yard field goal,0,3
2.0,0:55,Bears,Jay Feely 48 yard field goal,3,3
3.0,13:05,Bears,Jay Feely 25 yard field goal,6,3
,10:53,Vikings,Adam Thielen 44 yard pass from Teddy Bridgewater (Blair Walsh kick),6,10
4.0,11:29,Vikings,Blair Walsh 44 yard field goal,6,13
,8:53,Bears,Jay Feely 35 yard field goal,9,13
