Unnamed: 0,CHI,MIN
First Downs,12,15
Rush-Yds-TDs,21-99-0,33-121-0
Cmp-Att-Yd-TD-INT,23-36-172-0-0,17-25-209-1-1
Sacked-Yards,2-7,3-19
Net Pass Yards,165,190
Total Yards,264,311
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,8-50,4-25
Third Down Conv.,4-15,8-15
Fourth Down Conv.,2-3,0-1
Time of Possession,31:33,28:27
