Unnamed: 0,PIT,CLE
First Downs,11,19
Rush-Yds-TDs,31-109-0,28-90-0
Cmp-Att-Yd-TD-INT,9-24-73-1-0,25-44-234-0-2
Sacked-Yards,2-14,3-21
Net Pass Yards,59,213
Total Yards,168,303
Fumbles-Lost,0-0,4-3
Turnovers,0,5
Penalties-Yards,10-55,5-32
Third Down Conv.,2-14,8-17
Fourth Down Conv.,0-0,0-1
Time of Possession,27:27,32:33
