Quarter,Time,Tm,Detail,PIT,CLE
1.0,8:44,Browns,Phil Dawson 27 yard field goal,0,3
2.0,14:50,Browns,Phil Dawson 31 yard field goal,0,6
,6:28,Steelers,Mark Bruener 1 yard pass from Tommy Maddox (Jeff Reed kick),7,6
,2:09,Steelers,Jeff Reed 23 yard field goal,10,6
4.0,8:36,Steelers,Jeff Reed 46 yard field goal,13,6
