Quarter,Time,Tm,Detail,KAN,SDG
1.0,3:15,Chiefs,Mark Bradley 30 yard pass from Tyler Thigpen (Connor Barth kick),7,0
2.0,14:03,Chargers,Nate Kaeding 34 yard field goal,7,3
,6:47,Chargers,Nate Kaeding 26 yard field goal,7,6
,3:11,Chiefs,Tony Gonzalez 34 yard pass from Tyler Thigpen (pass failed),13,6
3.0,3:43,Chargers,Malcom Floyd 5 yard pass from Philip Rivers (Nate Kaeding kick),13,13
4.0,6:55,Chargers,Antonio Gates 8 yard pass from Philip Rivers (Nate Kaeding kick),13,20
,0:23,Chiefs,Tony Gonzalez 3 yard pass from Tyler Thigpen (pass failed),19,20
