Unnamed: 0,KAN,SDG
First Downs,19,23
Rush-Yds-TDs,18-76-0,26-92-0
Cmp-Att-Yd-TD-INT,27-41-266-3-0,27-36-316-2-2
Sacked-Yards,1-3,2-8
Net Pass Yards,263,308
Total Yards,339,400
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,3-16,5-37
Third Down Conv.,7-14,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,25:10,34:50
