Quarter,Time,Tm,Detail,NYJ,PIT
1.0,14:48,Jets,Brad Smith 97 yard kickoff return (Nick Folk kick),7,0
2.0,7:29,Steelers,Matt Spaeth 9 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,7
,2:48,Jets,Nick Folk 25 yard field goal,10,7
,0:33,Steelers,Shaun Suisham 42 yard field goal,10,10
3.0,9:03,Steelers,Rashard Mendenhall 2 yard rush (Shaun Suisham kick),10,17
,5:14,Jets,Mark Sanchez 7 yard rush (Nick Folk kick),17,17
4.0,10:07,Jets,Nick Folk 34 yard field goal,20,17
,2:38,Jets,"Safety, Jason Taylor tackled Mewelde Moore in the end zone.",22,17
