Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,PIT 30,6,0,"Shaun Suisham kicks off 67 yards, returned by Brad Smith for 97 yards, touchdown",0.000,7.000
1,,,,PIT 2,7,0,Nick Folk kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,0,"Nick Folk kicks off 58 yards, returned by Antonio Brown for 24 yards (tackle by Brodney Pool)",0.000,1.330
1,14:43,1,10,PIT 36,7,0,Ben Roethlisberger pass incomplete short right intended for Matt Spaeth,1.330,0.790
1,14:38,2,10,PIT 36,7,0,Ben Roethlisberger pass complete short right to Antwaan Randle El for 8 yards (tackle by Marquice Cole),0.790,1.160
1,13:55,3,2,PIT 44,7,0,Ben Roethlisberger right end for 3 yards (tackle by Calvin Pace),1.160,2.060
1,13:09,1,10,PIT 47,7,0,Rashard Mendenhall middle for 3 yards (tackle by David Harris),2.060,1.920
1,12:47,2,7,,7,0,Rashard Mendenhall right tackle for 5 yards (tackle by David Harris and Calvin Pace),1.920,1.880
1,12:28,3,2,NYJ 45,7,0,Ben Roethlisberger pass complete short right to Mewelde Moore for no gain,1.880,0.270
1,12:02,4,2,NYJ 45,7,0,"Jeremy Kapinos punts 45 yards, touchback",0.270,-0.280
1,11:03,1,10,NYJ 20,7,0,Mark Sanchez pass complete short left to Dustin Keller for 2 yards (tackle by James Harrison),0.280,0.000
1,10:24,2,8,NYJ 22,7,0,Mark Sanchez pass incomplete short right intended for Matthew Mulligan,0.000,-0.690
1,10:17,3,8,NYJ 22,7,0,Mark Sanchez pass incomplete deep right intended for Santonio Holmes,-0.690,-1.900
1,10:10,4,8,NYJ 22,7,0,"Steve Weatherford punts 36 yards, returned by Antonio Brown for 4 yards (tackle by Josh Mauga)",-1.900,-1.990
1,10:03,1,10,PIT 46,7,0,Mike Wallace left end for 8 yards (tackle by Darrelle Revis),1.990,2.530
1,9:19,2,2,NYJ 46,7,0,Ben Roethlisberger pass incomplete short middle intended for David Johnson (defended by Brodney Pool),2.530,1.820
1,9:15,,,,7,0,Timeout #1 by New York Jets,0.000,1.820
1,9:15,3,2,NYJ 46,7,0,Isaac Redman right guard for 7 yards (tackle by Brodney Pool and David Harris),1.820,2.980
1,8:36,1,10,NYJ 39,7,0,Ben Roethlisberger pass incomplete deep right intended for Mike Wallace,2.980,2.440
1,8:29,2,10,NYJ 39,7,0,Rashard Mendenhall left end for 5 yards (tackle by Sione Pouha),2.440,2.410
1,7:43,3,5,NYJ 34,7,0,Ben Roethlisberger pass incomplete deep right intended for Mike Wallace,2.410,1.070
1,7:38,4,5,NYJ 34,7,0,"Jeremy Kapinos punts 25 yards, returned by Jerricho Cotchery for 13 yards (tackle by Stevenson Sylvester)",1.070,-0.410
1,7:27,1,10,NYJ 22,7,0,LaDainian Tomlinson right tackle for 6 yards (tackle by Brett Keisel and James Harrison),0.410,0.680
1,6:52,2,4,NYJ 28,7,0,LaDainian Tomlinson left end for 11 yards (tackle by Ryan Mundy),0.680,1.530
1,6:14,1,10,NYJ 39,7,0,Mark Sanchez pass complete short right to Santonio Holmes for 7 yards (tackle by Bryant McFadden),1.530,1.930
1,5:38,2,3,NYJ 46,7,0,Shonn Greene left guard for 6 yards (tackle by Casey Hampton and Ike Taylor),1.930,2.390
1,5:08,1,10,PIT 48,7,0,Mark Sanchez pass complete short right to Braylon Edwards for 11 yards (tackle by Bryant McFadden and Brett Keisel),2.390,3.120
1,4:32,1,10,PIT 37,7,0,Shonn Greene right tackle for 1 yard (tackle by James Farrior),3.120,2.710
1,3:52,2,9,PIT 36,7,0,LaDainian Tomlinson middle for 10 yards (tackle by Ryan Clark),2.710,3.840
1,3:11,1,10,PIT 26,7,0,LaDainian Tomlinson right guard for 1 yard (tackle by Lawrence Timmons),3.840,3.430
1,2:33,2,9,PIT 25,7,0,"Mark Sanchez pass complete short left to Santonio Holmes for 20 yards (tackle by Ryan Mundy). Penalty on Matt Slauson: Offensive Holding, 10 yards (no play)",3.430,2.080
1,2:02,2,19,PIT 35,7,0,LaDainian Tomlinson right guard for 1 yard (tackle by James Harrison and Lawrence Timmons),2.080,1.550
1,1:21,3,18,PIT 34,7,0,Mark Sanchez sacked by James Farrior for 0 yards,1.550,1.060
1,0:49,4,18,PIT 34,7,0,Steve Weatherford punts 30 yards,1.060,0.380
1,0:41,1,10,PIT 4,7,0,Rashard Mendenhall right tackle for 9 yards (tackle by Darrelle Revis),-0.380,-0.120
Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,PIT 13,7,0,Rashard Mendenhall right tackle for 3 yards (tackle by Bart Scott),-0.120,-0.140
2,14:19,1,10,PIT 16,7,0,Ben Roethlisberger pass complete short left to Hines Ward for 16 yards (tackle by Dwight Lowery),-0.140,1.070
2,13:38,1,10,PIT 32,7,0,Ben Roethlisberger pass incomplete short middle intended for Matt Spaeth (defended by Brodney Pool),1.070,0.530
2,13:33,2,10,PIT 32,7,0,Ben Roethlisberger pass incomplete short middle intended for Matt Spaeth,0.530,-0.160
2,13:28,3,10,PIT 32,7,0,Ben Roethlisberger pass complete short right to Emmanuel Sanders for 12 yards (tackle by Drew Coleman),-0.160,1.860
2,12:50,1,10,PIT 44,7,0,Mewelde Moore left guard for 6 yards (tackle by Brodney Pool and Bart Scott),1.860,2.130
2,12:09,2,4,PIT 50,7,0,Mewelde Moore middle for 2 yards (tackle by Calvin Pace),2.130,1.690
2,11:30,3,2,NYJ 48,7,0,Ben Roethlisberger pass complete short right to Emmanuel Sanders for 13 yards,1.690,3.250
2,11:08,1,10,NYJ 35,7,0,Rashard Mendenhall right end for 9 yards (tackle by Darrelle Revis),3.250,3.840
2,10:25,1,10,NYJ 26,7,0,Ben Roethlisberger pass incomplete short right intended for Rashard Mendenhall (defended by Bart Scott),3.840,3.300
2,10:20,2,10,NYJ 26,7,0,Ben Roethlisberger sacked by Bryan Thomas for -7 yards,3.300,1.690
2,9:43,3,17,NYJ 33,7,0,Ben Roethlisberger pass complete deep right to Hines Ward for 18 yards (tackle by Brodney Pool),1.690,4.580
2,9:00,1,10,NYJ 15,7,0,Ben Roethlisberger pass complete short left to Emmanuel Sanders for 4 yards (tackle by Darrelle Revis),4.580,4.640
2,8:20,2,6,NYJ 11,7,0,Rashard Mendenhall right guard for 2 yards (tackle by Mike DeVito and Darrelle Revis),4.640,4.220
2,7:34,3,4,NYJ 9,7,6,"Ben Roethlisberger pass complete short middle to Matt Spaeth for 9 yards, touchdown",4.220,7.000
2,,,,NYJ 2,7,7,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,PIT 30,7,7,"Shaun Suisham kicks off 51 yards, returned by Brad Smith for 18 yards (tackle by Will Allen)",0.000,1.400
2,7:22,1,10,NYJ 37,7,7,Mark Sanchez pass complete short middle to Dustin Keller for 6 yards (tackle by Lawrence Timmons),1.400,1.670
2,6:51,2,4,NYJ 43,7,7,Shonn Greene right tackle for 2 yards (tackle by Casey Hampton),1.670,1.220
2,6:14,3,2,NYJ 45,7,7,Mark Sanchez pass complete short right to Braylon Edwards for 4 yards (tackle by Bryant McFadden and Ryan Clark),1.220,2.190
2,5:37,1,10,NYJ 49,7,7,Brad Smith right end for 2 yards (tackle by James Farrior and Brett Keisel),2.190,1.920
2,4:54,2,8,PIT 49,7,7,Mark Sanchez pass complete deep right to Braylon Edwards for 38 yards (tackle by Bryant McFadden),1.920,4.840
2,4:15,1,10,PIT 11,7,7,LaDainian Tomlinson right guard for 2 yards (tackle by LaMarr Woodley and Ryan Mundy),4.840,4.510
2,3:33,2,8,PIT 9,7,7,Mark Sanchez pass incomplete short left intended for Santonio Holmes (defended by Brett Keisel),4.510,3.530
2,3:29,3,8,PIT 9,7,7,Mark Sanchez pass complete short left to Santonio Holmes for 2 yards (tackle by Bryant McFadden),3.530,2.980
2,2:51,4,6,PIT 7,10,7,Nick Folk 25 yard field goal good,2.980,3.000
2,,,,NYJ 30,10,7,"Nick Folk kicks off 64 yards, returned by Antonio Brown for 17 yards (tackle by Josh Mauga)",0.000,0.480
