Unnamed: 0,NYJ,PIT
First Downs,17,25
Rush-Yds-TDs,27-106-1,25-146-1
Cmp-Att-Yd-TD-INT,19-29-170-0-0,23-44-264-1-0
Sacked-Yards,1-0,3-32
Net Pass Yards,170,232
Total Yards,276,378
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,3-19,3-35
Third Down Conv.,6-13,11-17
Fourth Down Conv.,1-1,0-0
Time of Possession,28:42,31:18
