Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Mason Rudolph pass complete short left to JuJu Smith-Schuster for 12 yards (tackle by Kenny Moore),0.610,1.400
1,14:36,1,10,PIT 37,0,0,Jaylen Samuels left guard for no gain (tackle by Anthony Walker and Grover Stewart),1.400,0.860
1,14:04,2,10,PIT 37,0,0,Mason Rudolph pass complete short middle to Jaylen Samuels for 17 yards (tackle by Anthony Walker),0.860,2.520
1,13:21,1,10,IND 46,0,0,Mason Rudolph pass incomplete deep left intended for JuJu Smith-Schuster,2.520,1.980
1,13:14,2,10,IND 46,0,0,Jaylen Samuels right tackle for -3 yards (tackle by Malik Hooker),1.980,0.890
1,12:33,3,13,IND 49,0,0,Mason Rudolph pass deep left,0.890,-3.250
1,12:20,1,10,PIT 35,0,0,Jacoby Brissett pass complete short left to Zach Pascal for 8 yards (tackle by Steven Nelson),3.250,3.780
1,11:46,2,2,PIT 27,0,0,Marlon Mack up the middle for 7 yards (tackle by Terrell Edmunds),3.780,4.240
1,11:02,1,10,PIT 20,0,0,Marlon Mack right tackle for 2 yards (tackle by Mike Hilton),4.240,3.960
1,10:19,2,8,PIT 18,0,0,"Marlon Mack left guard for -1 yards (tackle by Devin Bush). Penalty on Mike Hilton: Defensive Offside, 5 yards (no play)",3.960,4.830
1,9:53,2,3,PIT 13,0,0,Marlon Mack up the middle for 6 yards (tackle by Javon Hargrave),4.830,5.600
1,9:14,1,7,PIT 7,0,0,Jacoby Brissett left guard for -3 yards (tackle by Vince Williams),5.600,4.190
1,8:27,2,10,PIT 10,0,0,Jacoby Brissett sacked by Bud Dupree for -4 yards,4.190,3.000
1,7:44,3,14,PIT 14,0,0,Jacoby Brissett right end for 7 yards (tackle by Terrell Edmunds),3.000,2.970
1,7:12,4,7,PIT 7,3,0,Adam Vinatieri 25 yard field goal good,2.970,3.000
1,7:09,,,IND 35,3,0,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,7:09,1,10,PIT 25,3,0,Trey Edmunds right tackle for 45 yards (tackle by Clayton Geathers),0.610,3.580
1,6:35,1,10,IND 30,3,0,Mason Rudolph pass complete short left to Jaylen Samuels for no gain (tackle by Anthony Walker),3.580,3.030
1,5:54,2,10,IND 30,3,0,Mason Rudolph pass complete short left to Diontae Johnson for 3 yards (tackle by Margus Hunt),3.030,2.740
1,5:12,3,7,IND 27,3,0,Mason Rudolph pass complete short left to James Washington for 9 yards (tackle by Marvell Tell),2.740,4.370
1,4:47,1,10,IND 18,3,0,Jaylen Samuels right tackle for 3 yards (tackle by Anthony Walker),4.370,4.250
1,4:10,2,7,IND 15,3,0,Mason Rudolph pass complete short right to Vance McDonald for 3 yards (tackle by Bobby Okereke),4.250,4.030
1,3:28,3,4,IND 12,3,0,Mason Rudolph pass complete short middle to Jaylen Samuels for 8 yards (tackle by Darius Leonard and Malik Hooker),4.030,6.280
1,2:45,1,4,IND 4,3,0,Jaylen Samuels right guard for 3 yards (tackle by Darius Leonard and Bobby Okereke),6.280,5.910
1,1:56,2,1,IND 1,3,0,Trey Edmunds up the middle for -2 yards (tackle by Matthew Adams),5.910,4.720
1,1:11,3,3,IND 3,3,0,Mason Rudolph pass incomplete short right,4.720,3.040
1,1:01,4,3,IND 3,3,3,Chris Boswell 21 yard field goal good,3.040,3.000
1,0:58,,,PIT 35,3,3,"Chris Boswell kicks off 66 yards, returned by Parris Campbell for 36 yards (tackle by Jordan Dangerfield). Parris Campbell fumbles (forced by Jordan Dangerfield), recovered by Zach Pascal at IND-37 (tackle by Ulysees Gilbert)",0.000,1.400
1,0:50,1,10,IND 37,3,3,Jacoby Brissett pass complete short left to Jordan Wilkins for 6 yards (tackle by Steven Nelson and Minkah Fitzpatrick),1.400,1.670
1,0:06,2,4,IND 43,3,3,Jacoby Brissett pass complete deep right to Zach Pascal for 18 yards (tackle by Joe Haden),1.670,2.980
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 39,3,3,Parris Campbell left end for 4 yards (tackle by Steven Nelson),2.980,2.980
2,14:38,2,6,PIT 35,3,3,Marlon Mack up the middle for 1 yard (tackle by Cameron Heyward and Terrell Edmunds),2.980,2.410
2,14:02,3,5,PIT 34,3,3,Jacoby Brissett pass complete short left to Parris Campbell for 27 yards. Parris Campbell fumbles out of bounds,2.410,5.600
2,13:22,1,7,PIT 7,3,3,"Marlon Mack left tackle for 4 yards (tackle by Minkah Fitzpatrick and Javon Hargrave) Penalty on IND: Illegal Shift, 5 yards (no play)",5.600,4.640
2,12:46,1,12,PIT 12,3,3,Jacoby Brissett pass incomplete short right intended for Jordan Wilkins,4.640,3.860
2,12:41,2,12,PIT 12,3,3,Marlon Mack left guard for 1 yard (tackle by Cameron Heyward),3.860,3.120
2,12:02,3,11,PIT 11,9,3,"Brian Hoyer pass complete short middle to Jack Doyle for 11 yards, touchdown",3.120,7.000
2,11:57,,,PIT 15,10,3,Adam Vinatieri kicks extra point good,0.000,0.000
2,11:57,,,IND 35,10,3,"Rigoberto Sanchez kicks off 63 yards, returned by Ryan Switzer for 22 yards (tackle by George Odum and Rolan Milligan). Penalty on Jordan Dangerfield: Offensive Holding, 10 yards",0.000,-0.280
2,11:52,1,10,PIT 14,10,3,Jaylen Samuels left tackle for 2 yards (tackle by Margus Hunt),-0.280,-0.510
2,11:20,2,8,PIT 16,10,3,Mason Rudolph pass complete short middle to James Washington for 16 yards (tackle by Marvell Tell),-0.510,1.070
2,10:48,1,10,PIT 32,10,3,Mason Rudolph pass complete short left to Jaylen Samuels for 9 yards (tackle by Darius Leonard),1.070,1.740
2,10:15,2,1,PIT 41,10,3,Mason Rudolph pass complete short right to James Washington for 4 yards (tackle by Rock Ya-Sin),1.740,1.930
2,9:36,1,10,PIT 45,10,3,Trey Edmunds right tackle for 7 yards (tackle by Grover Stewart),1.930,2.330
2,9:00,2,3,IND 48,10,3,Trey Edmunds up the middle for 5 yards (tackle by Khari Willis),2.330,2.720
2,8:19,1,10,IND 43,10,3,"Penalty on Diontae Johnson: False Start, 5 yards (no play)",2.720,2.390
2,7:55,1,15,IND 48,10,3,Tony Brooks-James right tackle for no gain (tackle by Kenny Moore),2.390,1.500
2,7:19,2,15,IND 48,10,3,Mason Rudolph pass complete short right to Jaylen Samuels for 7 yards (tackle by Darius Leonard),1.500,1.750
2,6:35,3,8,IND 41,10,3,Mason Rudolph pass complete short left to Jaylen Samuels for 6 yards (tackle by George Odum),1.750,0.990
2,6:07,4,2,IND 35,10,3,Mason Rudolph pass complete short middle to JuJu Smith-Schuster for no gain (tackle by Jabaal Sheard),0.990,-1.270
2,6:01,1,10,IND 35,10,3,Parris Campbell left end for 22 yards (tackle by Terrell Edmunds),1.270,2.720
2,5:21,1,10,PIT 43,10,3,Marlon Mack up the middle for 7 yards (tackle by Javon Hargrave and Terrell Edmunds),2.720,3.120
2,4:44,2,3,PIT 36,10,3,Marlon Mack up the middle for 5 yards (tackle by Vince Williams),3.120,3.510
2,3:59,1,10,PIT 31,10,3,Marlon Mack right guard for 4 yards (tackle by Cameron Heyward and Vince Williams),3.510,3.510
2,3:18,2,6,PIT 27,10,3,Brian Hoyer pass incomplete short right intended for Deon Cain (defended by Joe Haden),3.510,2.810
2,3:13,3,6,PIT 27,10,3,Brian Hoyer pass complete short right to Eric Ebron for 7 yards (tackle by Mark Barron),2.810,4.240
2,2:36,1,10,PIT 20,10,9,"Brian Hoyer pass deep middle intended for Jack Doyle is intercepted by Minkah Fitzpatrick at PIT-4 and returned for 96 yards, touchdown",4.240,-7.000
2,2:21,,,IND 15,10,10,Chris Boswell kicks extra point good,0.000,0.000
2,2:21,,,PIT 35,10,10,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,2:21,1,10,IND 25,10,10,"Brian Hoyer pass complete short left to Nyheim Hines for 21 yards (tackle by Devin Bush and Minkah Fitzpatrick). Penalty on T.J. Watt: Roughing the Passer, 15 yards",0.610,2.980
2,2:01,1,10,PIT 39,10,10,Brian Hoyer pass complete short middle to Jack Doyle for 6 yards (tackle by Mike Hilton and Devin Bush),2.980,3.250
2,1:57,2,4,PIT 33,10,10,Brian Hoyer pass complete short right to Parris Campbell for 8 yards (tackle by Devin Bush and Vince Williams),3.250,3.910
2,1:41,1,10,PIT 25,10,10,Brian Hoyer pass complete short middle to Chester Rogers for 4 yards (tackle by Joe Haden and Mark Barron),3.910,3.900
2,1:13,2,6,PIT 21,10,10,Nyheim Hines up the middle for 7 yards (tackle by Tyson Alualu),3.900,4.650
2,0:47,1,10,PIT 14,16,10,"Brian Hoyer pass complete short middle to Zach Pascal for 14 yards, touchdown",4.650,7.000
2,0:42,,,PIT 15,16,10,Adam Vinatieri kicks extra point blocked by Cameron Heyward,0.000,-1.000
2,0:42,,,IND 35,16,10,"Rigoberto Sanchez kicks off 63 yards, returned by Ryan Switzer for 18 yards (tackle by Al-Quadin Muhammad)",0.000,0.280
2,0:37,1,10,PIT 20,16,10,Mason Rudolph pass complete short middle to Jaylen Samuels for 3 yards (tackle by Kenny Moore),0.280,0.140
2,0:29,2,7,PIT 23,16,10,Mason Rudolph pass complete short middle to Vance McDonald for 13 yards (tackle by Darius Leonard),0.140,1.330
2,0:21,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:21,1,10,PIT 36,16,10,Mason Rudolph pass complete short middle to Jaylen Samuels for 4 yards (tackle by Kenny Moore),1.330,1.330
2,0:14,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:14,2,6,PIT 40,16,10,Mason Rudolph up the middle for 7 yards (tackle by Darius Leonard),1.330,2.060
2,0:07,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:07,1,10,PIT 47,16,10,"Mason Rudolph pass complete short left to Vance McDonald for 5 yards (tackle by Anthony Walker and Justin Houston). Penalty on Darius Leonard: Unnecessary Roughness, 15 yards",2.060,3.380
2,0:00,1,10,IND 33,16,13,Chris Boswell 51 yard field goal good,3.380,3.000
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,16,13,"Chris Boswell kicks off 61 yards, returned by Zach Pascal for 31 yards (tackle by Anthony Chickillo)",0.000,1.270
3,14:55,1,10,IND 35,16,13,Brian Hoyer pass complete short right to Mo Alie-Cox for 11 yards (tackle by Minkah Fitzpatrick),1.270,1.990
3,14:21,1,10,IND 46,16,13,Marlon Mack left guard for -1 yards (tackle by Devin Bush and Cameron Heyward),1.990,1.320
3,13:47,2,11,IND 45,16,13,Brian Hoyer sacked by and T.J. Watt for -8 yards and Mark Barron for -8 yards,1.320,-0.430
3,13:04,3,19,IND 37,16,13,Brian Hoyer pass complete deep left to Zach Pascal for 17 yards (tackle by Steven Nelson),-0.430,0.200
3,12:40,4,2,PIT 46,16,13,Marlon Mack up the middle for 5 yards (tackle by Anthony Chickillo),0.200,2.850
3,11:57,1,10,PIT 41,16,13,Marlon Mack right end for no gain (tackle by Mark Barron),2.850,2.310
3,11:37,2,10,PIT 41,16,13,Jordan Wilkins up the middle for 6 yards (tackle by Terrell Edmunds),2.310,2.410
3,10:53,3,4,PIT 35,16,13,Brian Hoyer pass incomplete short right intended for Nyheim Hines (defended by Devin Bush),2.410,0.980
3,10:49,4,4,PIT 35,16,13,"Brian Hoyer sacked by Bud Dupree for -11 yards. Brian Hoyer fumbles (forced by Bud Dupree), recovered by Bud Dupree at PIT-46 (tackle by Anthony Castonzo)",0.980,-1.990
3,10:40,1,10,PIT 46,16,13,Mason Rudolph pass incomplete deep left intended for Johnny Holton,1.990,1.450
3,10:35,2,10,PIT 46,16,13,Jaylen Samuels left tackle for 6 yards (tackle by Anthony Walker),1.450,1.550
3,9:59,3,4,IND 48,16,13,Mason Rudolph pass complete short right to Jaylen Samuels for 9 yards (tackle by George Odum),1.550,2.980
3,9:30,1,10,IND 39,16,13,Trey Edmunds left guard for 1 yard (tackle by Malik Hooker),2.980,2.580
3,8:47,2,9,IND 38,16,13,"Mason Rudolph pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by Darius Leonard). Penalty on Darius Leonard: Unnecessary Roughness, 15 yards",2.580,4.310
3,8:22,1,10,IND 19,16,13,Trey Edmunds right guard for 3 yards (tackle by Anthony Walker and Malik Hooker),4.310,4.180
3,7:41,2,7,IND 16,16,13,Mason Rudolph pass complete short middle to Vance McDonald for 2 yards (tackle by Anthony Walker),4.180,3.760
3,6:54,3,5,IND 14,16,13,Mason Rudolph pass complete short left to Jaylen Samuels for 7 yards (tackle by Malik Hooker),3.760,5.600
3,6:15,1,7,IND 7,16,13,Jaylen Samuels right guard for no gain (tackle by Jabaal Sheard and Anthony Walker),5.600,4.760
3,5:37,2,7,IND 7,16,13,Mason Rudolph pass incomplete short right intended for Roosevelt Nix,4.760,3.810
3,5:30,3,7,IND 7,16,19,"Mason Rudolph pass complete short right to Vance McDonald for 7 yards, touchdown",3.810,7.000
3,5:25,,,IND 15,16,20,Chris Boswell kicks extra point good,0.000,0.000
3,5:25,,,PIT 35,16,20,"Chris Boswell kicks off 67 yards, returned by Parris Campbell for 26 yards (tackle by Olasunkanmi Adeniyi and Johnny Holton)",0.000,0.540
3,5:19,1,10,IND 24,16,20,Brian Hoyer pass complete short left to Parris Campbell for 16 yards (tackle by Minkah Fitzpatrick),0.540,1.600
3,5:00,1,10,IND 40,16,20,Marlon Mack up the middle for 1 yard (tackle by Cameron Heyward),1.600,1.190
3,4:25,2,9,IND 41,16,20,Marlon Mack right tackle for 24 yards (tackle by Minkah Fitzpatrick),1.190,3.250
3,3:44,1,10,PIT 35,16,20,Parris Campbell right end for 1 yard (tackle by Minkah Fitzpatrick),3.250,2.840
3,3:15,2,9,PIT 34,16,20,"Brian Hoyer pass incomplete short middle intended for Jack Doyle (defended by Devin Bush). Penalty on Mark Glowinski: Illegal Use of Hands, 10 yards (no play)",2.840,1.490
3,3:11,2,19,PIT 44,16,20,"Penalty on Mark Glowinski: False Start, 5 yards (no play)",1.490,0.810
3,3:11,2,24,PIT 49,16,20,Brian Hoyer pass complete short left to Parris Campbell for no gain (tackle by Mike Hilton and Anthony Chickillo) Penalty on IND: Illegal Shift (Declined),0.810,0.170
3,2:48,3,24,PIT 49,16,20,Brian Hoyer pass incomplete short right intended for Deon Cain,0.170,0.000
3,2:42,4,24,PIT 49,16,20,Rigoberto Sanchez punts 48 yards downed by Ashton Dulin,0.000,0.380
3,2:33,1,10,PIT 1,16,20,Trey Edmunds right tackle for 7 yards (tackle by Bobby Okereke),-0.380,-0.270
3,1:54,2,3,PIT 8,16,20,Trey Edmunds left tackle for no gain (tackle by Grover Stewart and Bobby Okereke),-0.270,-0.600
3,1:12,3,3,PIT 8,18,20,"Mason Rudolph sacked by Justin Houston for -8 yards. Mason Rudolph fumbles (forced by Justin Houston), recovered by Alejandro Villanueva at PIT--5 (tackle by Justin Houston), safety.",-0.600,-2.000
3,1:05,,,PIT 20,18,20,"Jordan Berry kicks off 67 yards, returned by Chester Rogers for 4 yards (tackle by Olasunkanmi Adeniyi and Trey Edmunds). Chester Rogers fumbles (forced by Olasunkanmi Adeniyi), recovered by Johnny Holton at IND-17 (tackle by Zach Pascal)",0.000,-4.440
3,0:58,1,10,IND 17,18,20,Mason Rudolph pass incomplete short left intended for Diontae Johnson,4.440,3.850
3,0:54,2,10,IND 17,18,20,Mason Rudolph pass complete short right to Jaylen Samuels for -4 yards (tackle by Anthony Walker),3.850,2.680
3,0:10,3,14,IND 21,18,20,Mason Rudolph pass complete short middle to Jaylen Samuels for 6 yards (tackle by Darius Leonard),2.680,2.440
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,8,IND 15,18,23,Chris Boswell 33 yard field goal good,2.440,3.000
4,14:57,,,PIT 35,18,23,"Chris Boswell kicks off 62 yards, returned by Zach Pascal for 24 yards (tackle by Ulysees Gilbert)",0.000,0.740
4,14:52,1,10,IND 27,18,23,Marlon Mack right tackle for no gain (tackle by T.J. Watt),0.740,0.200
4,14:13,2,10,IND 27,18,23,Brian Hoyer pass complete short left to Jack Doyle for 5 yards (tackle by Devin Bush),0.200,0.170
4,13:33,3,5,IND 32,18,23,Brian Hoyer pass incomplete short middle intended for Nyheim Hines,0.170,-1.240
4,13:29,4,5,IND 32,18,23,"Rigoberto Sanchez punts 43 yards, fair catch by Ryan Switzer at PIT-25",-1.240,-0.610
4,13:22,1,10,PIT 25,18,23,Trey Edmunds left tackle for 1 yard (tackle by Al-Quadin Muhammad and Grover Stewart),0.610,0.200
4,12:46,2,9,PIT 26,18,23,Diontae Johnson left end for 2 yards (tackle by Clayton Geathers),0.200,-0.230
4,12:04,3,7,PIT 28,18,23,"Mason Rudolph pass complete short left to Jaylen Samuels for 1 yard (tackle by Vance McDonald) (tackle by Marvell Tell). Jaylen Samuels fumbles, recovered by Justin Houston at PIT-30 (tackle by Vance McDonald)",-0.230,-3.580
4,11:55,1,10,PIT 30,18,23,Marlon Mack up the middle for 2 yards (tackle by Cameron Heyward and Javon Hargrave),3.580,3.300
4,11:21,2,8,PIT 28,18,23,Marlon Mack left guard for 7 yards (tackle by Terrell Edmunds and Devin Bush),3.300,3.530
4,10:56,3,1,PIT 21,18,23,Marlon Mack left guard for 9 yards (tackle by Minkah Fitzpatrick and Steven Nelson),3.530,4.780
4,10:19,1,10,PIT 12,18,23,Brian Hoyer pass incomplete short middle,4.780,4.100
4,10:12,2,10,PIT 12,18,23,Brian Hoyer pass complete short right to Parris Campbell for 2 yards (tackle by Joe Haden),4.100,3.480
4,9:32,3,8,PIT 10,18,23,Brian Hoyer right guard for 6 yards (tackle by Cameron Sutton),3.480,3.040
4,8:47,4,2,PIT 4,24,23,"Brian Hoyer pass complete short right to Chester Rogers for 4 yards, touchdown",3.040,7.000
4,8:43,,,,,,Timeout #1 by Indianapolis Colts,,
4,8:43,,,PIT 2,24,23,"Two Point Attempt: Brian Hoyer pass incomplete intended for Jack Doyle, conversion fails",1.000,-1.000
4,8:43,,,IND 35,24,23,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
4,8:43,1,10,PIT 25,24,23,Mason Rudolph pass complete deep middle to James Washington for 40 yards (tackle by Rock Ya-Sin),0.610,3.250
4,8:13,1,10,IND 35,24,23,Trey Edmunds left tackle for 4 yards (tackle by Darius Leonard),3.250,3.240
4,7:36,2,6,IND 31,24,23,"Mason Rudolph pass incomplete deep left intended for Diontae Johnson. Penalty on Marvell Tell: Defensive Pass Interference, 24 yards (no play)",3.240,5.600
4,7:30,1,7,IND 7,24,23,Mason Rudolph pass incomplete short middle intended for Nick Vannett,5.600,4.760
4,7:27,2,7,IND 7,24,23,Jaylen Samuels left tackle for -1 yards (tackle by Grover Stewart),4.760,3.580
4,6:43,3,8,IND 8,24,23,Mason Rudolph pass incomplete short left intended for Vance McDonald,3.580,2.950
4,6:39,4,8,IND 8,24,26,Chris Boswell 26 yard field goal good,2.950,3.000
4,6:36,,,PIT 35,24,26,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,6:36,1,10,IND 25,24,26,Marlon Mack left end for 3 yards (tackle by Steven Nelson),0.610,0.470
4,6:09,2,7,IND 28,24,26,Brian Hoyer pass complete short right to Chester Rogers for 14 yards (tackle by Mike Hilton),0.470,1.730
4,5:40,1,10,IND 42,24,26,Brian Hoyer sacked by Mike Hilton for -6 yards,1.730,0.380
4,4:56,2,16,IND 36,24,26,Brian Hoyer sacked by T.J. Watt for -9 yards,0.380,-1.480
4,4:13,3,25,IND 27,24,26,Brian Hoyer pass complete short right to Eric Ebron for 9 yards (tackle by Mike Hilton). Penalty on Braden Smith: Offensive Holding (Declined),-1.480,-0.980
4,4:07,4,16,IND 36,24,26,"Rigoberto Sanchez punts 44 yards, returned by Ryan Switzer for no gain (tackle by Bobby Okereke). Penalty on Bobby Okereke: Unnecessary Roughness, 15 yards",-0.980,-1.270
4,3:58,1,10,PIT 35,24,26,Trey Edmunds up the middle for 2 yards (tackle by Kenny Moore),1.270,0.990
4,3:22,2,8,PIT 37,24,26,Trey Edmunds up the middle for no gain (tackle by Kenny Moore),0.990,0.300
4,2:39,3,8,PIT 37,24,26,Mason Rudolph pass incomplete short right intended for Vance McDonald,0.300,-0.910
4,2:35,4,8,PIT 37,24,26,"Jordan Berry punts 48 yards, fair catch by Chester Rogers at IND-15",-0.910,0.220
4,2:28,1,10,IND 15,24,26,Brian Hoyer pass incomplete short right intended for Chester Rogers,-0.220,-0.710
4,2:24,2,10,IND 15,24,26,Brian Hoyer pass incomplete short right intended for Zach Pascal,-0.710,-1.370
4,2:20,3,10,IND 15,24,26,"Brian Hoyer pass incomplete deep left intended for Zach Pascal. Penalty on Steven Nelson: Defensive Pass Interference, 35 yards (no play)",-1.370,2.260
4,2:13,1,10,IND 50,24,26,Brian Hoyer pass incomplete short right intended for Chester Rogers,2.260,1.710
4,2:09,2,10,IND 50,24,26,Brian Hoyer pass complete deep left to Zach Pascal for 19 yards (tackle by Steven Nelson),1.710,3.510
4,2:03,1,10,PIT 31,24,26,Marlon Mack up the middle for 6 yards (tackle by Devin Bush),3.510,3.780
4,1:59,2,4,PIT 25,24,26,Marlon Mack up the middle for 3 yards (tackle by Javon Hargrave and Terrell Edmunds),3.780,3.470
4,1:20,3,1,PIT 22,24,26,Marlon Mack up the middle for -3 yards (tackle by Bud Dupree),3.470,1.880
4,1:14,,,,,,Timeout #3 by Pittsburgh Steelers,,
