Unnamed: 0,IND,PIT
First Downs,22,17
Rush-Yds-TDs,29-139-0,25-90-0
Cmp-Att-Yd-TD-INT,21-31-227-3-1,26-35-191-1-1
Sacked-Yards,5-38,1-8
Net Pass Yards,189,183
Total Yards,328,273
Fumbles-Lost,4-2,2-1
Turnovers,3,2
Penalties-Yards,7-89,5-70
Third Down Conv.,4-12,5-13
Fourth Down Conv.,2-3,0-1
Time of Possession,30:32,29:28
