Quarter,Time,Tm,Detail,IND,PIT
1.0,7:09,Colts,Adam Vinatieri 25 yard field goal,3,0
,0:58,Steelers,Chris Boswell 21 yard field goal,3,3
2.0,11:57,Colts,Jack Doyle 11 yard pass from Brian Hoyer (Adam Vinatieri kick),10,3
,2:21,Steelers,Minkah Fitzpatrick 96 yard interception return (Chris Boswell kick),10,10
,0:42,Colts,Zach Pascal 14 yard pass from Brian Hoyer (Adam Vinatieri kick failed),16,10
,0:00,Steelers,Chris Boswell 51 yard field goal,16,13
3.0,5:25,Steelers,Vance McDonald 7 yard pass from Mason Rudolph (Chris Boswell kick),16,20
,1:05,Colts,"Safety, Justin Houston",18,20
4.0,14:57,Steelers,Chris Boswell 33 yard field goal,18,23
,8:43,Colts,Chester Rogers 4 yard pass from Brian Hoyer (pass failed),24,23
,6:36,Steelers,Chris Boswell 26 yard field goal,24,26
