Unnamed: 0,IND,NWE
First Downs,8,11
Rush-Yds-TDs,22-78-0,28-70-0
Cmp-Att-Yd-TD-INT,15-29-103-0-1,20-30-147-1-0
Sacked-Yards,9-60,4-14
Net Pass Yards,43,133
Total Yards,121,203
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,2-15,4-35
Third Down Conv.,0-14,6-17
Fourth Down Conv.,0-2,0-0
Time of Possession,28:54,31:06
