Quarter,Time,Tm,Detail,IND,NWE
2.0,13:30,Patriots,Nick Folk 49 yard field goal,0,3
,8:50,Patriots,Nick Folk 43 yard field goal,0,6
,6:12,Patriots,Rhamondre Stevenson 3 yard pass from Mac Jones (Nick Folk kick),0,13
3.0,8:00,Colts,Chase McLaughlin 40 yard field goal,3,13
,4:17,Patriots,Nick Folk 43 yard field goal,3,16
4.0,10:10,Patriots,Nick Folk 28 yard field goal,3,19
,3:59,Patriots,Jonathan Jones 17 yard interception return (Nick Folk kick),3,26
