Quarter,Time,Down,ToGo,Location,KAN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",,
1,15:00,1,10,BAL 25,0,0,Lamar Jackson right tackle for 2 yards (tackle by Nick Bolton),,
1,14:25,2,8,BAL 27,0,0,Lamar Jackson pass incomplete deep middle intended for Marquise Brown,,
1,14:19,3,8,BAL 27,6,0,"Lamar Jackson pass short right intended for Sammy Watkins is intercepted by Tyrann Mathieu at BAL-34 and returned for 34 yards, touchdown",,
1,14:10,,,BAL 15,7,0,Harrison Butker kicks extra point good,,
1,14:10,,,KAN 35,7,0,"Harrison Butker kicks off 65 yards, touchback.",,
1,14:10,1,10,BAL 25,7,0,Latavius Murray right guard for 6 yards (tackle by Nick Bolton),,
1,13:31,2,4,BAL 31,7,0,Ty'Son Williams right tackle for 5 yards (tackle by Chris Jones and Anthony Hitchens),,
1,12:51,1,10,BAL 36,7,0,Lamar Jackson pass complete short left to Marquise Brown for 11 yards (tackle by L'Jarius Sneed),,
1,12:11,1,10,BAL 47,7,0,Ty'Son Williams right end for 12 yards (tackle by Tyrann Mathieu),,
1,11:31,1,10,KAN 41,7,0,Devonta Freeman right end for 31 yards (tackle by Tyrann Mathieu),,
1,10:44,1,10,KAN 10,7,6,"Ty'Son Williams left end for 9 yards. Ty'Son Williams fumbles (forced by Mike Hughes) (tackle by Daniel Sorensen), recovered by Devin Duvernay at KC-2 and returned for 2 yards, touchdown",,
1,10:36,,,KAN 15,7,7,Justin Tucker kicks extra point good,,
1,10:36,,,BAL 35,7,7,"Justin Tucker kicks off 57 yards, returned by Byron Pringle for 8 yards (tackle by Brandon Stephens). Penalty on Chris Lammons: Offensive Holding, 8 yards (accepted)",,
1,10:31,1,10,KAN 8,7,7,Clyde Edwards-Helaire right tackle for 9 yards (tackle by Patrick Queen),,
1,9:54,2,1,KAN 17,7,7,Patrick Mahomes pass complete short middle to Mecole Hardman for 6 yards (tackle by Tyus Bowser),,
1,9:23,1,10,KAN 23,7,7,Patrick Mahomes pass complete short right to Tyreek Hill for 7 yards (tackle by Marlon Humphrey),,
1,8:51,2,3,KAN 30,7,7,Patrick Mahomes pass complete short middle to Mecole Hardman for 19 yards (tackle by Marlon Humphrey),,
1,8:16,1,10,KAN 49,7,7,Clyde Edwards-Helaire right end for 1 yard (tackle by Brandon Stephens and Malik Harrison),,
1,7:35,2,9,BAL 50,7,7,Clyde Edwards-Helaire right guard for 7 yards (tackle by Justin Madubuike),,
1,6:54,3,2,BAL 43,7,7,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Patrick Queen),,
1,6:13,1,10,BAL 33,13,7,"Patrick Mahomes pass complete deep middle to Demarcus Robinson for 33 yards, touchdown",,
1,6:05,,,BAL 15,14,7,Harrison Butker kicks extra point good,,
1,6:05,,,KAN 35,14,7,"Harrison Butker kicks off 65 yards, touchback.",,
1,6:05,1,10,BAL 25,14,7,Lamar Jackson pass complete short left to Marquise Brown for 17 yards (tackle by Tyrann Mathieu),,
1,5:34,1,10,BAL 42,14,7,Ty'Son Williams right guard for 7 yards (tackle by Derrick Nnadi),,
1,4:53,2,3,BAL 49,14,7,Ty'Son Williams right guard for 1 yard (tackle by Frank Clark),,
1,4:16,3,2,BAL 50,14,7,Lamar Jackson right end for 9 yards (tackle by Anthony Hitchens),,
1,3:38,1,10,KAN 41,14,7,Lamar Jackson left end for 9 yards (tackle by Alex Okafor),,
1,2:59,2,1,KAN 32,14,7,Latavius Murray left end for 8 yards (tackle by L'Jarius Sneed),,
1,2:13,1,10,KAN 24,14,7,Lamar Jackson pass incomplete deep right intended for Sammy Watkins,,
1,2:08,2,10,KAN 24,14,7,Lamar Jackson pass complete short right to Marquise Brown for -4 yards (tackle by Anthony Hitchens),,
1,1:24,3,14,KAN 28,14,7,Lamar Jackson pass deep middle intended for Marquise Brown is intercepted by Tyrann Mathieu in end zone and returned for 16 yards (tackle by Mark Andrews),,
1,1:13,1,10,KAN 14,14,7,Patrick Mahomes pass complete deep right to Mecole Hardman for 17 yards,,
1,0:44,1,10,KAN 31,14,7,"Patrick Mahomes pass complete short middle to Michael Burton for no gain (tackle by Marlon Humphrey and Chuck Clark). Penalty on Demarcus Robinson: Offensive Pass Interference, 10 yards (accepted) (no play)",,
1,0:18,1,20,KAN 21,14,7,"Creed Humphrey aborted snap, recovered by Patrick Mahomes at KC-6 Patrick Mahomes pass incomplete short right. Penalty on Patrick Mahomes: Intentional Grounding, 18 yards (accepted)",,
1,0:09,2,38,KAN 3,14,7,Clyde Edwards-Helaire left guard for -1 yards (tackle by Justin Houston),,
Quarter,Time,Down,ToGo,Location,KAN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,39,KAN 2,14,7,Patrick Mahomes pass complete short left to Jody Fortson for 11 yards (tackle by Anthony Averett),,
2,14:32,4,28,KAN 13,14,7,Tommy Townsend punts 54 yards downed by Marcus Kemp,,
2,14:20,1,10,BAL 33,14,7,Ty'Son Williams left guard for no gain (tackle by Nick Bolton),,
2,13:36,2,10,BAL 33,14,7,Lamar Jackson pass complete short middle to Mark Andrews for 7 yards (tackle by Tyrann Mathieu),,
2,12:54,3,3,BAL 40,14,7,Ty'Son Williams right end for no gain (tackle by Nick Bolton),,
2,12:11,4,3,BAL 40,14,7,"Sam Koch punts 49 yards, fair catch by Mecole Hardman at KC-11",,
2,12:05,1,10,KAN 11,14,7,Darrel Williams right guard for 1 yard (tackle by Calais Campbell),,
2,11:23,2,9,KAN 12,14,7,Patrick Mahomes pass complete short middle to Travis Kelce for 14 yards (tackle by Malik Harrison),,
2,10:45,1,10,KAN 26,14,7,Clyde Edwards-Helaire left end for 3 yards (tackle by DeShon Elliott),,
2,10:00,2,7,KAN 29,14,7,Patrick Mahomes pass complete short middle to Demarcus Robinson for 10 yards (tackle by Chris Board),,
2,9:20,1,10,KAN 39,14,7,Patrick Mahomes pass incomplete deep middle intended for Mecole Hardman (defended by Marlon Humphrey),,
2,9:16,2,10,KAN 39,14,7,Patrick Mahomes pass incomplete deep middle intended for Mecole Hardman,,
2,9:11,3,10,KAN 39,14,7,Patrick Mahomes pass incomplete short right intended for Demarcus Robinson,,
2,9:03,4,10,KAN 39,14,7,"Tommy Townsend punts 49 yards, returned by Devin Duvernay for 16 yards (tackle by Armani Watts)",,
2,8:52,1,10,BAL 28,14,7,Lamar Jackson right end for 21 yards (tackle by Anthony Hitchens),,
2,8:18,1,10,BAL 49,14,7,Latavius Murray right guard for 3 yards (tackle by Anthony Hitchens and Nick Bolton),,
2,7:32,2,7,KAN 48,14,7,Lamar Jackson pass complete deep middle to Marquise Brown for 20 yards (tackle by Daniel Sorensen),,
2,6:46,1,10,KAN 28,14,7,Lamar Jackson pass complete short left to Mark Andrews for 8 yards (tackle by Daniel Sorensen),,
2,6:11,2,2,KAN 20,14,7,Latavius Murray right guard for 4 yards (tackle by Khalen Saunders and Daniel Sorensen),,
2,5:24,1,10,KAN 16,14,7,Lamar Jackson pass incomplete short middle intended for Marquise Brown,,
2,5:20,2,10,KAN 16,14,7,"Ty'Son Williams right tackle for no gain (tackle by Derrick Nnadi). Penalty on Alejandro Villanueva: Illegal Formation, 5 yards (accepted) (no play)",,
2,4:56,2,15,KAN 21,14,7,Lamar Jackson pass complete short left to Ty'Son Williams for 9 yards (tackle by Nick Bolton),,
2,4:14,3,6,KAN 12,14,7,Lamar Jackson pass complete short middle to Ty'Son Williams for 7 yards (tackle by Nick Bolton),,
2,3:24,1,5,KAN 5,14,13,"Latavius Murray right guard for 5 yards, touchdown",,
2,3:21,,,KAN 15,14,14,Justin Tucker kicks extra point good,,
2,3:21,,,BAL 35,14,14,"Justin Tucker kicks off 65 yards, returned by Byron Pringle for 33 yards (tackle by Anthony Averett)",,
2,3:16,1,10,KAN 33,14,14,Clyde Edwards-Helaire right guard for 9 yards (tackle by Patrick Queen and Tyus Bowser),,
2,2:42,2,1,KAN 42,14,14,Patrick Mahomes pass complete short left to Tyreek Hill for 4 yards (tackle by DeShon Elliott),,
2,2:13,1,10,KAN 46,14,14,Patrick Mahomes pass complete short left to Travis Kelce for 14 yards (tackle by Malik Harrison),,
2,2:00,1,10,BAL 40,14,14,Patrick Mahomes pass complete short middle to Blake Bell for 20 yards (tackle by DeShon Elliott),,
2,1:45,,,,,,Timeout #1 by Baltimore Ravens,,
2,1:45,1,10,BAL 20,14,14,Clyde Edwards-Helaire right end for 4 yards (tackle by Calais Campbell and Chris Board),,
2,1:01,2,6,BAL 16,14,14,Patrick Mahomes pass complete short left to Jerick McKinnon for 14 yards (tackle by Patrick Queen),,
2,0:54,1,2,BAL 2,20,14,"Darrel Williams right end for 2 yards, touchdown",,
2,0:51,,,BAL 15,21,14,Harrison Butker kicks extra point good,,
2,0:51,,,KAN 35,21,14,"Harrison Butker kicks off 65 yards, touchback.",,
2,0:51,1,10,BAL 25,21,14,Lamar Jackson pass complete short middle to Sammy Watkins for 11 yards (tackle by Rashad Fenton),,
2,0:47,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:47,1,10,BAL 36,21,14,"Penalty on Marquise Brown: False Start, 5 yards (accepted) (no play)",,
2,0:47,1,15,BAL 31,21,14,"Lamar Jackson pass complete short middle to Ty'Son Williams for no gain (tackle by Ben Niemann). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (accepted) (no play)",,
2,0:40,1,25,BAL 21,21,14,Ty'Son Williams right end for 20 yards (tackle by Daniel Sorensen and Tershawn Wharton),,
2,0:33,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:33,2,5,BAL 41,21,14,Lamar Jackson pass complete short middle to Mark Andrews for 12 yards (tackle by Charvarius Ward),,
2,0:26,1,10,KAN 47,21,14,Lamar Jackson right guard for 14 yards (tackle by Ben Niemann),,
2,0:12,1,10,KAN 33,21,14,Lamar Jackson spiked the ball,,
2,0:11,2,10,KAN 33,21,14,Lamar Jackson pass complete short left to Sammy Watkins for 8 yards (tackle by Rashad Fenton),,
2,0:07,3,2,KAN 25,21,17,Justin Tucker 43 yard field goal good,,
2,0:03,,,BAL 35,21,17,"Justin Tucker kicks off 55 yards, returned by Mecole Hardman for 5 yards, lateral to Byron Pringle for no gain (tackle by Geno Stone and Brandon Stephens)",,
Quarter,Time,Down,ToGo,Location,KAN,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,21,17,"Justin Tucker kicks off 48 yards, returned by Michael Burton for 9 yards (tackle by Chris Board)",,
3,14:55,1,10,KAN 26,21,17,"Clyde Edwards-Helaire right guard for no gain (tackle by Justin Madubuike). Penalty on Justin Madubuike: Defensive Holding, 5 yards (accepted) (no play)",,
3,14:49,1,10,KAN 31,21,17,Clyde Edwards-Helaire right guard for 7 yards (tackle by Patrick Queen),,
3,14:01,2,3,KAN 38,21,17,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Marlon Humphrey),,
3,13:25,1,10,KAN 43,21,17,Patrick Mahomes pass complete short middle to Michael Burton for 11 yards (tackle by Anthony Averett),,
3,12:47,1,10,BAL 46,21,17,Clyde Edwards-Helaire left end for 6 yards (tackle by Justin Houston),,
3,12:01,2,4,BAL 40,27,17,"Patrick Mahomes pass complete short middle to Byron Pringle for 40 yards, touchdown",,
3,11:53,,,BAL 15,28,17,Harrison Butker kicks extra point good,,
3,11:53,,,KAN 35,28,17,"Harrison Butker kicks off 65 yards, touchback.",,
3,11:53,1,10,BAL 25,28,17,Lamar Jackson pass complete short middle to Marquise Brown for 27 yards (tackle by Tyrann Mathieu),,
3,11:13,1,10,KAN 48,28,17,"Latavius Murray left guard for no gain (tackle by Frank Clark and Nick Bolton). Penalty on Ben Powers: Offensive Holding, 10 yards (accepted) (no play)",,
3,10:44,1,20,BAL 42,28,17,Latavius Murray left end for -4 yards (tackle by Frank Clark),,
3,10:05,2,24,BAL 38,28,17,Lamar Jackson pass complete short left to Mark Andrews for 20 yards (tackle by Tyrann Mathieu),,
3,9:39,3,4,KAN 42,28,23,"Lamar Jackson pass complete deep middle to Marquise Brown for 42 yards, touchdown",,
3,9:30,,,KAN 15,28,24,Justin Tucker kicks extra point good,,
3,9:30,,,BAL 35,28,24,"Justin Tucker kicks off 65 yards, touchback.",,
3,9:30,1,10,KAN 25,28,24,Tyreek Hill right end for 15 yards (tackle by Chuck Clark),,
3,9:01,1,10,KAN 40,28,24,Clyde Edwards-Helaire right tackle for 1 yard (tackle by Odafe Oweh and Tyus Bowser),,
3,8:20,2,9,KAN 41,28,24,Patrick Mahomes pass complete short left to Mecole Hardman for 5 yards (tackle by Patrick Queen and Anthony Averett),,
3,7:37,3,4,KAN 46,28,24,Patrick Mahomes scrambles right end for 3 yards (tackle by Patrick Queen),,
3,7:37,1,10,BAL 46,28,24,"Penalty on Marlon Humphrey: Defensive Holding, 5 yards (accepted) (no play)",,
3,7:14,1,10,BAL 46,28,24,Patrick Mahomes pass incomplete deep left intended for Mecole Hardman,,
3,7:07,2,10,BAL 46,34,24,"Patrick Mahomes pass complete short right to Travis Kelce for 46 yards, touchdown",,
3,6:50,,,BAL 15,35,24,Harrison Butker kicks extra point good,,
3,6:50,,,KAN 35,35,24,"Harrison Butker kicks off 65 yards, touchback.",,
3,6:50,1,10,BAL 25,35,24,Ty'Son Williams right guard for 3 yards (tackle by Khalen Saunders),,
3,6:09,2,7,BAL 28,35,24,"Lamar Jackson pass complete short right to Mark Andrews for no gain (tackle by L'Jarius Sneed). Penalty on Tyrann Mathieu: Illegal Contact, 5 yards (accepted) (no play)",,
3,5:50,1,10,BAL 33,35,24,Latavius Murray right guard for 4 yards (tackle by Anthony Hitchens and Khalen Saunders),,
3,5:09,2,6,BAL 37,35,24,Devonta Freeman left end for -2 yards (tackle by Daniel Sorensen),,
3,4:22,3,8,BAL 35,35,24,Lamar Jackson sacked by Daniel Sorensen for -9 yards,,
3,3:24,4,17,BAL 26,35,24,"Penalty on Nick Moore: Offensive Holding, 10 yards (accepted) (no play)",,
3,3:14,4,27,BAL 16,35,24,"Sam Koch punts 46 yards, returned by Mecole Hardman for 13 yards (tackle by Tyus Bowser)",,
3,3:14,1,10,BAL 49,35,24,Darrel Williams up the middle for -5 yards (tackle by Justin Madubuike),,
3,2:35,2,15,KAN 46,35,24,Patrick Mahomes pass complete short right to Tyreek Hill for 3 yards (tackle by Marlon Humphrey),,
3,2:09,,,,,,Timeout #1 by Baltimore Ravens,,
3,2:09,3,12,KAN 49,35,24,Patrick Mahomes pass short middle intended for Travis Kelce is intercepted by Tavon Young at BAL-44 and returned for no gain (tackle by Travis Kelce),,
3,2:01,1,10,BAL 44,35,24,Lamar Jackson scrambles right end for 20 yards (tackle by Charvarius Ward),,
3,1:16,,,,,,Timeout #2 by Baltimore Ravens,,
3,1:16,1,10,KAN 36,35,24,Lamar Jackson pass complete short middle to Sammy Watkins for 19 yards (tackle by L'Jarius Sneed),,
