Unnamed: 0,KAN,BAL
First Downs,22,31
Rush-Yds-TDs,18-62-1,41-251-3
Cmp-Att-Yd-TD-INT,24-31-343-3-1,18-26-239-1-2
Sacked-Yards,0-0,1-9
Net Pass Yards,343,230
Total Yards,405,481
Fumbles-Lost,2-1,1-0
Turnovers,2,2
Penalties-Yards,5-46,8-55
Third Down Conv.,1-6,6-11
Fourth Down Conv.,0-0,1-1
Time of Possession,24:01,35:59
