Quarter,Time,Down,ToGo,Location,NYG,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Jay Feely kicks off 66 yards, returned by Maurice Jones-Drew for 16 yards (tackle by Brandon Jacobs). Penalty on Montell Owens: Illegal Block Above the , 10 yards",0.000,-0.380
1,14:53,1,10,JAX 10,0,0,Fred Taylor middle for no gain (tackle by Will Demps),-0.380,-0.780
1,14:12,2,10,JAX 10,0,0,Fred Taylor middle for 7 yards (tackle by Reggie Torbor),-0.780,-0.600
1,13:28,3,3,JAX 17,0,0,"David Garrard for no gain. David Garrard fumbles, recovered by David Garrard at JAX-1",-0.600,-2.490
1,13:00,4,19,JAX 1,0,0,"Chris Hanson punts 38 yards, returned by Chad Morton for 10 yards (tackle by Joe Zelenka)",-2.490,-3.640
1,12:50,1,10,JAX 29,0,0,Tiki Barber left tackle for 2 yards (tackle by Nick Greisen),3.640,3.370
1,12:50,2,8,JAX 27,0,0,"Penalty on Marcus Stroud: Encroachment, 5 yards (no play)",3.370,4.050
1,11:53,2,3,JAX 22,0,0,Eli Manning pass incomplete short left intended for Tiki Barber,4.050,3.340
1,11:49,3,3,JAX 22,0,0,Eli Manning pass incomplete deep left intended for Plaxico Burress,3.340,2.090
1,11:43,4,3,JAX 22,3,0,Jay Feely 40 yard field goal good,2.090,3.000
1,,,,NYG 30,3,0,"Jay Feely kicks off 65 yards, returned by Maurice Jones-Drew for 22 yards (tackle by Chase Blackburn)",0.000,0.740
1,11:31,1,10,JAX 27,3,0,David Garrard pass complete short left to Fred Taylor for 2 yards (tackle by Barry Cofield),0.740,0.470
1,10:50,2,8,JAX 29,3,0,Fred Taylor middle for 4 yards (tackle by Carlos Emmons),0.470,0.300
