Quarter,Time,Tm,Detail,NYG,JAX
1.0,11:38,Giants,Jay Feely 40 yard field goal,3,0
,7:40,Jaguars,Josh Scobee 39 yard field goal,3,3
2.0,10:15,Jaguars,Fred Taylor 10 yard rush (Josh Scobee kick),3,10
3.0,9:43,Jaguars,Josh Scobee 24 yard field goal,3,13
,6:32,Giants,Plaxico Burress 25 yard pass from Eli Manning (Jay Feely kick),10,13
,0:53,Jaguars,Josh Scobee 23 yard field goal,10,16
4.0,12:36,Jaguars,Maurice Jones-Drew 3 yard rush (Josh Scobee kick),10,23
,5:39,Jaguars,Josh Scobee 48 yard field goal,10,26
