Unnamed: 0,SFO,SEA
First Downs,14,28
Rush-Yds-TDs,16-59-0,44-255-1
Cmp-Att-Yd-TD-INT,22-34-264-1-0,24-29-260-3-0
Sacked-Yards,2-17,2-7
Net Pass Yards,247,253
Total Yards,306,508
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,5-42,8-51
Third Down Conv.,2-11,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,22:21,37:39
