Quarter,Time,Tm,Detail,KAN,MIN
1.0,10:23,Vikings,Randy Moss 30 yard pass from Daunte Culpepper (Aaron Elling kick),0,7
2.0,10:58,Vikings,Randy Moss 21 yard pass from Daunte Culpepper (Aaron Elling kick),0,14
,3:42,Vikings,Jim Kleinsasser 4 yard pass from Daunte Culpepper (Aaron Elling kick),0,21
,0:00,Vikings,Aaron Elling 46 yard field goal,0,24
3.0,11:44,Vikings,Onterrio Smith 1 yard rush (Aaron Elling kick),0,31
,5:16,Chiefs,Priest Holmes 2 yard rush (Morten Andersen kick),7,31
4.0,13:33,Chiefs,Priest Holmes 4 yard rush (pass failed),13,31
,10:05,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),20,31
,7:00,Vikings,Onterrio Smith 11 yard rush (Aaron Elling kick),20,38
,6:00,Vikings,Onterrio Smith 10 yard rush (Aaron Elling kick),20,45
